ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
30001,-0.03554166,-0.03566362,-0.03509873,-0.036081195,-0.0345712
30002,-0.037765063,-0.03825799,-0.03743033,-0.03876352,-0.036790032
30003,-0.038271524,-0.037989,-0.038330704,-0.0392394,-0.036404364
30004,-0.03237671,-0.033171073,-0.033875097,-0.033877656,-0.031909257
30005,-0.031834714,-0.03220814,-0.032991894,-0.03352679,-0.032557532
30006,-0.03480883,-0.035098605,-0.035905927,-0.037050012,-0.035706293
30007,-0.038352434,-0.039278556,-0.03997203,-0.04048518,-0.03999836
30008,-0.03897252,-0.03836627,-0.03908021,-0.0394086,-0.039424833
30009,-0.03180194,-0.03197942,-0.030710127,-0.031822708,-0.03091338
30010,-0.032587126,-0.031557396,-0.030624771,-0.03158876,-0.029599417
30011,-0.036763415,-0.036137827,-0.035944983,-0.036185108,-0.035552137
30012,-0.04304176,-0.041872554,-0.042564426,-0.042387195,-0.042850286
30013,-0.04021447,-0.0406954,-0.04235538,-0.042333134,-0.04054796
30014,-0.029464066,-0.03054668,-0.031068325,-0.03069808,-0.02976378
30015,-0.028881779,-0.028161254,-0.027188968,-0.0262006,-0.027973738
30016,-0.03683219,-0.036108922,-0.034166984,-0.03432394,-0.035842042
30017,-0.050996423,-0.046683386,-0.044523567,-0.046733133,-0.046769336
30018,-0.043873563,-0.04108592,-0.040424712,-0.040111504,-0.04195379
30019,-0.02933502,-0.029006623,-0.028604265,-0.027347367,-0.028837537
30020,-0.02660331,-0.025617138,-0.024413543,-0.026948152,-0.025321413
30021,-0.034764037,-0.035298552,-0.034646653,-0.03521513,-0.03431799
30022,-0.049478702,-0.049324475,-0.051704574,-0.05050439,-0.04996946
30023,-0.04157248,-0.040556688,-0.042551216,-0.043265752,-0.042163648
30024,-0.02693329,-0.027117655,-0.02656579,-0.026803374,-0.02667839
30025,-0.021778978,-0.022074409,-0.02325632,-0.021477908,-0.023271106
30026,-0.033268895,-0.0346817,-0.034415193,-0.0313994,-0.036685906
30027,-0.04921309,-0.048625268,-0.050901547,-0.045538846,-0.052401878
30028,-0.04230012,-0.042341545,-0.045184907,-0.04110314,-0.043867737
30029,-0.02383979,-0.024863394,-0.025452875,-0.024235994,-0.02461464
30030,-0.015908,-0.014763415,-0.017262965,-0.017028788,-0.016602747
30031,-0.03350708,-0.03389196,-0.034779795,-0.036102235,-0.034255147
30032,-0.047648363,-0.048378736,-0.04936084,-0.049485788,-0.04859945
30033,-0.044209708,-0.0436548,-0.047794715,-0.04544414,-0.046202287
30034,-0.022734663,-0.021133915,-0.024984162,-0.02407647,-0.022718497
30035,-0.009919446,-0.00994722,-0.00957243,-0.012044591,-0.011412963
30036,-0.0355616,-0.032753304,-0.036215734,-0.036687918,-0.035899937
30037,-0.05369249,-0.048748456,-0.054840412,-0.054117635,-0.052037098
30038,-0.048601605,-0.046073563,-0.046006598,-0.04947858,-0.047076266
30039,-0.022472277,-0.02118364,-0.021445535,-0.022696123,-0.021656081
30040,-0.011616528,-0.011653595,-0.014278889,-0.011387873,-0.013829067
30041,-0.033123508,-0.03270103,-0.03420575,-0.03285543,-0.033834003
30042,-0.052897163,-0.053416774,-0.054175206,-0.05110407,-0.05504199
30043,-0.0486554,-0.048236847,-0.048769906,-0.04841967,-0.049869426
30044,-0.016013497,-0.01607235,-0.01587268,-0.016236596,-0.018516522
30045,-0.010532981,-0.012034681,-0.008995261,-0.010059558,-0.012247272
30046,-0.03168802,-0.032881387,-0.030672166,-0.032993294,-0.03153418
30047,-0.051834326,-0.053704835,-0.05447455,-0.053912126,-0.053203702
30048,-0.04797304,-0.048826113,-0.04971882,-0.049749613,-0.04787694
30049,-0.014469013,-0.013605516,-0.014739595,-0.013840774,-0.015047025
30050,-0.010160327,-0.009450048,-0.010481417,-0.010566368,-0.0104741305
30051,-0.03294842,-0.02952616,-0.032166116,-0.03192814,-0.032480855
30052,-0.05865779,-0.052819528,-0.05428701,-0.056268644,-0.05805724
30053,-0.05193235,-0.05093128,-0.051781647,-0.054496635,-0.053587664
30054,-0.014167046,-0.01181509,-0.014932193,-0.014866505,-0.0132597685
30055,-0.008069151,-0.0040159076,-0.006027594,-0.006064959,-0.0052844062
30056,-0.031318534,-0.032067053,-0.03228236,-0.031805858,-0.031361863
30057,-0.058662504,-0.06265607,-0.06124808,-0.06049188,-0.05857435
30058,-0.04641355,-0.05039083,-0.050474852,-0.04965677,-0.04671279
