unique_id,ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
H1,30001,-0.036755048,-0.035145395,-0.035847515,-0.035705335,-0.035507597
H1,30002,-0.038828872,-0.037922323,-0.037626423,-0.038684774,-0.03786963
H1,30003,-0.03918612,-0.038061634,-0.037852462,-0.039534055,-0.037566908
H1,30004,-0.03366278,-0.033881757,-0.03391294,-0.034340862,-0.032640927
H1,30005,-0.03363008,-0.03368774,-0.0340444,-0.0340771,-0.032803573
H1,30006,-0.036865573,-0.037258003,-0.037364356,-0.037793934,-0.035662185
H1,30007,-0.04040595,-0.04136986,-0.041131813,-0.04157673,-0.040021516
H1,30008,-0.04017444,-0.039744973,-0.039831717,-0.04037561,-0.03964081
H1,30009,-0.031553507,-0.032715507,-0.0313003,-0.032242924,-0.03103019
H1,30010,-0.031877626,-0.031862214,-0.031085927,-0.03183333,-0.029693536
H1,30011,-0.03661576,-0.03698246,-0.03640029,-0.037212383,-0.03522577
H1,30012,-0.043426126,-0.043452892,-0.043261983,-0.043606043,-0.042407222
H1,30013,-0.040854253,-0.042503577,-0.0428878,-0.042681,-0.040716797
H1,30014,-0.029471949,-0.031954937,-0.031526454,-0.031146325,-0.030006658
H1,30015,-0.028303621,-0.02930123,-0.028612923,-0.027660828,-0.028089736
H1,30016,-0.03648377,-0.037817597,-0.036078654,-0.036198955,-0.03597839
H1,30017,-0.050973594,-0.048982304,-0.046060186,-0.048369616,-0.046785906
H1,30018,-0.044314295,-0.0432952,-0.04202128,-0.04152548,-0.04152979
H1,30019,-0.03000677,-0.029653847,-0.030498952,-0.028171215,-0.027960636
H1,30020,-0.0271937,-0.02552395,-0.026272865,-0.0272887,-0.025099203
H1,30021,-0.035886057,-0.036177907,-0.03690561,-0.035651527,-0.03582727
H1,30022,-0.05096344,-0.05101952,-0.05420457,-0.051012114,-0.05281127
H1,30023,-0.04258523,-0.041914485,-0.044625163,-0.043508574,-0.04444003
H1,30024,-0.027476821,-0.027755242,-0.027960796,-0.026930407,-0.027973197
H1,30025,-0.021966994,-0.022506088,-0.023656499,-0.021861248,-0.024389528
H1,30026,-0.03397199,-0.036084976,-0.03485163,-0.03230577,-0.03831588
H1,30027,-0.050892893,-0.051691093,-0.05231701,-0.047454353,-0.055593245
H1,30028,-0.043529708,-0.04514343,-0.04657783,-0.042647295,-0.047458217
H1,30029,-0.024036556,-0.026634984,-0.02545699,-0.02416708,-0.02707833
H1,30030,-0.01630842,-0.016047686,-0.016700268,-0.01685528,-0.018565781
H1,30031,-0.034518857,-0.034968227,-0.034995407,-0.036578726,-0.036069185
H1,30032,-0.048966974,-0.049640894,-0.04964158,-0.050037973,-0.04992298
H1,30033,-0.045924034,-0.04508692,-0.04735732,-0.04589333,-0.046970025
H1,30034,-0.024096679,-0.02187261,-0.024459913,-0.024026364,-0.022333898
H1,30035,-0.010300543,-0.009622768,-0.008878486,-0.010752426,-0.009468362
H1,30036,-0.0364774,-0.03345853,-0.03526112,-0.035635613,-0.03415727
H1,30037,-0.055040196,-0.05087474,-0.0549532,-0.05410982,-0.051381838
H1,30038,-0.04855156,-0.04674174,-0.046116896,-0.04828835,-0.045353323
H1,30039,-0.021773294,-0.020575166,-0.02031289,-0.020314384,-0.018282872
H1,30040,-0.011125743,-0.011303611,-0.012558922,-0.009344481,-0.01044523
H1,30041,-0.032618657,-0.03229183,-0.032019757,-0.031486195,-0.03119424
H1,30042,-0.05241163,-0.053256407,-0.05182919,-0.0499053,-0.05282207
H1,30043,-0.04814201,-0.048199534,-0.046644434,-0.04664676,-0.048023425
H1,30044,-0.014264634,-0.015545124,-0.013059929,-0.012667134,-0.016388658
H1,30045,-0.007844944,-0.011027287,-0.005669236,-0.004798785,-0.0095256455
H1,30046,-0.030229254,-0.03296554,-0.029004358,-0.02888783,-0.030269269
H1,30047,-0.05167704,-0.054777853,-0.05318089,-0.051619664,-0.05372401
H1,30048,-0.047411412,-0.049161717,-0.047250632,-0.047435455,-0.04814475
H1,30049,-0.012470145,-0.0129627995,-0.011847325,-0.010772394,-0.014124345
H1,30050,-0.007903315,-0.00835792,-0.0067967065,-0.007272781,-0.00906264
H1,30051,-0.031771958,-0.02957569,-0.02962772,-0.030207459,-0.03204503
H1,30052,-0.058200266,-0.054122493,-0.05367535,-0.05584994,-0.058951862
H1,30053,-0.051586412,-0.051514406,-0.05018521,-0.05297589,-0.054114915
H1,30054,-0.013447208,-0.010873614,-0.012363195,-0.012231983,-0.012317006
H1,30055,-0.006938752,-0.0026570782,-0.0040360987,-0.0039734244,-0.004383657
H1,30056,-0.030921157,-0.03035947,-0.030596547,-0.030483983,-0.031094126
H1,30057,-0.059779085,-0.059779122,-0.05944322,-0.05936185,-0.058205627
H1,30058,-0.048826918,-0.047204316,-0.048680037,-0.0488613,-0.046860337
H1,30059,-0.011282098,-0.008734517,-0.010168444,-0.010028351,-0.010249894
H1,30060,0.00053013954,-0.0003214311,0.0019737333,0.0015096804,0.0011169957
H1,30061,-0.030168053,-0.026708659,-0.027930338,-0.028681496,-0.028436013
H1,30062,-0.06953756,-0.06483506,-0.067968346,-0.06868775,-0.06945128
H1,30063,-0.047191218,-0.04623562,-0.04579608,-0.047373332,-0.04821323
H1,30064,-0.012273058,-0.009131685,-0.00924845,-0.010491028,-0.011290774
H1,30065,-0.005175039,-0.001145117,-0.0031314641,-0.003696233,-0.0035315305
H1,30066,-0.028128669,-0.02688666,-0.028121874,-0.028780073,-0.029772453
H1,30067,-0.06465431,-0.06757547,-0.0653664,-0.066618964,-0.06682627
H1,30068,-0.054453976,-0.051657252,-0.052417513,-0.054081056,-0.052033234
H1,30069,-0.008479767,-0.008152422,-0.0074296417,-0.009947032,-0.008905869
H1,30070,0.006288018,0.002705425,0.005554829,0.003184989,0.0044969246
H1,30071,-0.033918194,-0.033234216,-0.03294971,-0.034438178,-0.03351683
H1,30072,-0.059409246,-0.060026295,-0.05897674,-0.05986967,-0.06055563
H1,30073,-0.051945023,-0.05328071,-0.053739488,-0.053699315,-0.054602213
H1,30074,-0.0117394775,-0.01192072,-0.011939153,-0.011298358,-0.012613051
H1,30075,0.012464184,0.014728699,0.014776215,0.013248146,0.014135718
H1,30076,-0.033482328,-0.033167556,-0.034805708,-0.03359797,-0.03456848
H1,30077,-0.06794087,-0.06894621,-0.071141824,-0.06903708,-0.071676366
H1,30078,-0.05283022,-0.05514653,-0.054909095,-0.056521807,-0.056949556
H1,30079,-0.005219057,-0.0069157034,-0.007363178,-0.0076493993,-0.0093278065
H1,30080,0.008326665,0.008351445,0.006191179,0.006630957,0.0048075914
H1,30081,-0.02801928,-0.031536087,-0.030885495,-0.030798055,-0.031376705
H1,30082,-0.06283499,-0.06666012,-0.06269297,-0.06615065,-0.06529498
H1,30083,-0.055146776,-0.057352386,-0.054252274,-0.0572835,-0.05703962
H1,30084,0.0023075137,-0.0029258747,0.0009889826,-0.0018502679,-0.0011228696
H1,30085,0.013266679,0.006154295,0.011934072,0.0072701257,0.008313447
H1,30086,-0.027113013,-0.030991897,-0.0283667,-0.031245455,-0.03138291
H1,30087,-0.06414442,-0.06718829,-0.06530079,-0.06718678,-0.066833004
H1,30088,-0.054745547,-0.058657587,-0.056133214,-0.05770125,-0.056488976
H1,30089,0.0016838647,-0.0017791428,0.0006411951,-0.0022635646,0.00050454773
