unique_id,ds,RNN,RNN-lo-90,RNN-lo-80,RNN-hi-80,RNN-hi-90
H1,2045-11-26,0.10035011,0.0946337,0.09606274,0.10446742,0.10306694
H1,2045-11-27,0.10363219,0.09804215,0.09734674,0.106112145,0.105970174
H1,2045-11-28,0.102583334,0.09942416,0.09834972,0.1071252,0.108531035
H1,2045-11-29,0.100960776,0.09902451,0.09678255,0.10427552,0.107401155
H1,2045-11-30,0.10118006,0.09580263,0.09539107,0.104715474,0.10471519
H1,2045-12-01,0.101773515,0.10152269,0.098264255,0.10731869,0.10805054
H1,2045-12-02,0.09792652,0.09952134,0.0952796,0.10268835,0.10391814
H1,2045-12-03,0.102451675,0.09680264,0.09951679,0.10661096,0.10433634
H1,2045-12-04,0.10081283,0.09410446,0.09599679,0.1038473,0.10449968
H1,2045-12-05,0.10043845,0.09950413,0.09592745,0.105031416,0.10705824
H1,2045-12-06,0.10064,0.097179756,0.095418155,0.10168751,0.101210505
H1,2045-12-07,0.09337679,0.08687967,0.09019476,0.09589331,0.09594006
H1,2045-12-08,0.10120335,0.097842515,0.095400356,0.10617682,0.107901014
H1,2045-12-09,0.09768086,0.091121644,0.09280455,0.10096129,0.09924127
H1,2045-12-10,0.0988722,0.09242625,0.09139037,0.09837794,0.09989307
H1,2045-12-11,0.09640045,0.09065665,0.09115926,0.099329695,0.09979073
H1,2045-12-12,0.099510506,0.09508902,0.09376606,0.09949202,0.101161756
H1,2045-12-13,0.10016602,0.09674572,0.09508432,0.10472593,0.1052202
H1,2045-12-14,0.099410124,0.09439227,0.095198326,0.10001138,0.10215172
H1,2045-12-15,0.09346716,0.08909893,0.08824865,0.09522387,0.09635751
H1,2045-12-16,0.089509204,0.09052223,0.08609241,0.09310609,0.09618318
H1,2045-12-17,0.09516102,0.09058218,0.0908034,0.09804972,0.09786814
H1,2045-12-18,0.08588486,0.083078876,0.08165007,0.089136645,0.09118404
H1,2045-12-19,0.094120264,0.08764186,0.08668847,0.09433671,0.0956371
H1,2045-12-20,0.09231684,0.09237606,0.088137366,0.09518422,0.0974424
H1,2045-12-21,0.08895931,0.085446216,0.08408077,0.09379437,0.09290763
H1,2045-12-22,0.08706517,0.084350735,0.082385324,0.09067506,0.08997105
H1,2045-12-23,0.0845453,0.08240765,0.08005496,0.08783341,0.09007505
