unique_id,ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
H1,2024-01-01 00:00:02.000,0.118989155,0.115002,0.12131469,0.1285468,0.116093785
H1,2024-01-01 00:00:02.001,0.12146718,0.11583862,0.12086101,0.12418946,0.11705496
H1,2024-01-01 00:00:02.002,0.12642321,0.11751184,0.11995363,0.11547476,0.11897732
H1,2024-01-01 00:00:02.003,0.1307611,0.12362735,0.12324041,0.11682876,0.1260395
H1,2024-01-01 00:00:02.004,0.13448079,0.13418512,0.13072129,0.12825146,0.13824148
H1,2024-01-01 00:00:02.005,0.12136183,0.12565964,0.117690496,0.11866079,0.12850977
H1,2024-01-01 00:00:02.006,0.091404185,0.09805095,0.08414802,0.08805671,0.09684437
H1,2024-01-01 00:00:02.007,0.099726416,0.10293041,0.09241844,0.10210019,0.095540665
H1,2024-01-01 00:00:02.008,0.14632851,0.14029798,0.14250177,0.16079123,0.12459867
H1,2024-01-01 00:00:02.009,0.15124895,0.14568798,0.14949279,0.16093878,0.12658805
H1,2024-01-01 00:00:02.010,0.11448773,0.11910044,0.113391496,0.102542855,0.1015088
H1,2024-01-01 00:00:02.011,0.100951105,0.10705735,0.1001003,0.0866718,0.09678374
H1,2024-01-01 00:00:02.012,0.11063904,0.10955868,0.109619215,0.11332563,0.11241285
H1,2024-01-01 00:00:02.013,0.13232392,0.12553269,0.12609753,0.13236229,0.12727287
H1,2024-01-01 00:00:02.014,0.16600573,0.15497938,0.14953525,0.14378178,0.14136383
H1,2024-01-01 00:00:02.015,0.14059663,0.13332555,0.13208431,0.12381866,0.12141697
H1,2024-01-01 00:00:02.016,0.056096584,0.06057117,0.073744744,0.07247296,0.06743229
H1,2024-01-01 00:00:02.017,0.06231227,0.06707813,0.08286695,0.083998375,0.07779032
H1,2024-01-01 00:00:02.018,0.15924367,0.15284643,0.15945092,0.15839493,0.15249103
H1,2024-01-01 00:00:02.019,0.175753,0.16954629,0.16527182,0.1633394,0.16441883
H1,2024-01-01 00:00:02.020,0.11184025,0.117177755,0.10032959,0.098831795,0.11357364
H1,2024-01-01 00:00:02.021,0.088717826,0.09861882,0.08138611,0.07938708,0.095035516
H1,2024-01-01 00:00:02.022,0.10638571,0.11386947,0.10844137,0.105005234,0.10880439
H1,2024-01-01 00:00:02.023,0.13238284,0.13461056,0.13478804,0.13055837,0.13131529
H1,2024-01-01 00:00:02.024,0.16670918,0.16084205,0.1604261,0.15604647,0.1625682
H1,2024-01-01 00:00:02.025,0.13348232,0.1314686,0.12919421,0.12930948,0.13034964
H1,2024-01-01 00:00:02.026,0.032702256,0.046490237,0.041092418,0.050347373,0.034659572
H1,2024-01-01 00:00:02.027,0.05560748,0.059844654,0.059283152,0.07119101,0.056665637
H1,2024-01-01 00:00:02.028,0.20219797,0.17153186,0.18376642,0.19184044,0.19636782
