unique_id,ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
H1,30001,-0.038441934,-0.035628088,-0.039310906,-0.037096787,-0.036777526
H1,30002,-0.04265053,-0.040694278,-0.04198952,-0.040648594,-0.039096624
H1,30003,-0.040348206,-0.039746378,-0.043472,-0.038354523,-0.037882987
H1,30004,-0.032670915,-0.029769305,-0.035439856,-0.030744605,-0.033218674
H1,30005,-0.03392907,-0.032082975,-0.03223879,-0.033412416,-0.032091547
H1,30006,-0.03627015,-0.03618338,-0.035605565,-0.03576208,-0.03416238
H1,30007,-0.038745232,-0.037770078,-0.03880225,-0.037975393,-0.038454466
H1,30008,-0.03763803,-0.037914418,-0.037772372,-0.037862793,-0.035932437
H1,30009,-0.030306593,-0.030677237,-0.02878289,-0.029046591,-0.026436992
H1,30010,-0.02545513,-0.02555424,-0.027978204,-0.025051516,-0.02361333
H1,30011,-0.031477995,-0.032314986,-0.032451175,-0.031187348,-0.029994637
H1,30012,-0.038931057,-0.043338165,-0.041344635,-0.04154629,-0.037919603
H1,30013,-0.03396533,-0.03518661,-0.03782484,-0.034947943,-0.035821434
H1,30014,-0.024291614,-0.023050062,-0.024582125,-0.023493446,-0.024031173
H1,30015,-0.02173591,-0.022789735,-0.024432562,-0.023008645,-0.020864215
H1,30016,-0.028635308,-0.028300636,-0.030618237,-0.028358141,-0.029833779
H1,30017,-0.038618308,-0.037389107,-0.040063955,-0.039586723,-0.041658163
H1,30018,-0.03548614,-0.035754927,-0.0353972,-0.035495453,-0.035593048
H1,30019,-0.022092693,-0.022601768,-0.022537932,-0.02298123,-0.02297698
H1,30020,-0.019785471,-0.017858908,-0.0164807,-0.017144896,-0.021491606
H1,30021,-0.029761735,-0.030044593,-0.02762394,-0.028792568,-0.030306242
H1,30022,-0.042342186,-0.041679844,-0.042549644,-0.044154257,-0.04479644
H1,30023,-0.036633886,-0.033756934,-0.03259332,-0.035121087,-0.036886085
H1,30024,-0.024078041,-0.022985898,-0.020268522,-0.022797257,-0.022416383
H1,30025,-0.02151645,-0.020652503,-0.017921332,-0.017588519,-0.018955626
H1,30026,-0.02856756,-0.027682684,-0.028234005,-0.028619468,-0.029947788
H1,30027,-0.04545351,-0.042626206,-0.04642726,-0.045143865,-0.04594267
H1,30028,-0.043329213,-0.04238617,-0.042172823,-0.039893992,-0.039877225
H1,30029,-0.02074571,-0.01911094,-0.020535182,-0.018734224,-0.018458903
H1,30030,-0.016502744,-0.011931557,-0.017145326,-0.015564531,-0.013954349
H1,30031,-0.035511933,-0.03380599,-0.035538644,-0.033351198,-0.03253587
H1,30032,-0.045768663,-0.04502853,-0.045904294,-0.041090153,-0.041968785
H1,30033,-0.043588143,-0.041943025,-0.044421583,-0.0406969,-0.038823515
H1,30034,-0.02519718,-0.025623031,-0.026881117,-0.021613501,-0.021818995
H1,30035,-0.011742344,-0.017181804,-0.010616967,-0.0078489445,-0.011426413
H1,30036,-0.03363575,-0.033733275,-0.035067864,-0.031515922,-0.02974213
H1,30037,-0.054359086,-0.053090565,-0.061266057,-0.055913143,-0.04790849
H1,30038,-0.046253048,-0.050761618,-0.047245592,-0.043994863,-0.043860577
H1,30039,-0.019360505,-0.022441879,-0.01935003,-0.016567307,-0.017190494
H1,30040,-0.0126577765,-0.015377462,-0.016429849,-0.015629452,-0.010336947
H1,30041,-0.03147371,-0.03494656,-0.033775225,-0.033067346,-0.032094274
H1,30042,-0.05112255,-0.054383725,-0.051633418,-0.049146168,-0.048336655
H1,30043,-0.04871595,-0.04840508,-0.04891403,-0.0469843,-0.04541849
H1,30044,-0.017723056,-0.019841172,-0.01915083,-0.01915944,-0.020371508
H1,30045,-0.009582646,-0.0139129795,-0.010090785,-0.005448453,-0.011641711
H1,30046,-0.034278065,-0.034177557,-0.034282133,-0.03390064,-0.033149183
H1,30047,-0.05682991,-0.056810662,-0.057596184,-0.061020438,-0.0572929
H1,30048,-0.049420927,-0.050647985,-0.050177887,-0.04903061,-0.05106277
H1,30049,-0.018480215,-0.01957659,-0.019499354,-0.01853145,-0.017259412
H1,30050,-0.012145933,-0.009599805,-0.010548253,-0.012646422,-0.010709735
H1,30051,-0.036567003,-0.033708915,-0.035456788,-0.036008198,-0.03475646
H1,30052,-0.061077617,-0.06318197,-0.06399995,-0.05837897,-0.062421683
H1,30053,-0.05385586,-0.051797528,-0.052815724,-0.052022576,-0.054815345
H1,30054,-0.019510329,-0.015303306,-0.016369317,-0.01813221,-0.015955575
H1,30055,-0.012477294,-0.011466935,-0.011910953,-0.010425035,-0.011237755
H1,30056,-0.035250805,-0.033978097,-0.034700304,-0.034150474,-0.035298645
H1,30057,-0.059067626,-0.058299392,-0.058716908,-0.058694836,-0.05829019
H1,30058,-0.052308857,-0.053234752,-0.055978004,-0.053469025,-0.05280385
H1,30059,-0.013621565,-0.013886757,-0.016121808,-0.014327498,-0.015509462
H1,30060,-0.00043834746,0.0020585689,0.003481198,-0.0016353689,0.0017089173
H1,30061,-0.03644225,-0.033775076,-0.036220502,-0.03662945,-0.03440305
H1,30062,-0.07055637,-0.068875134,-0.07209733,-0.06432891,-0.07093114
H1,30063,-0.048409794,-0.047331814,-0.04870671,-0.045920778,-0.048449963
H1,30064,-0.019759025,-0.01817542,-0.020539906,-0.021603703,-0.017879844
H1,30065,-0.016644895,-0.01383673,-0.014349755,-0.013099432,-0.008722052
H1,30066,-0.028727416,-0.029933132,-0.028289933,-0.028684199,-0.031178206
H1,30067,-0.0628796,-0.07181253,-0.06607649,-0.06683938,-0.06890757
H1,30068,-0.06266009,-0.060157742,-0.062007748,-0.060190372,-0.056574136
H1,30069,-0.0067829266,-0.0038631372,-0.0057434924,-0.006286785,-0.009382881
H1,30070,0.004240852,-0.003805913,0.0015770793,0.0002303198,0.00018171594
H1,30071,-0.03919561,-0.040654216,-0.03864388,-0.03882195,-0.037619486
H1,30072,-0.05689311,-0.055716462,-0.053883035,-0.055454243,-0.058152735
H1,30073,-0.053657748,-0.054082192,-0.052166693,-0.05545263,-0.052814685
H1,30074,-0.020260662,-0.022825582,-0.021658253,-0.0160916,-0.015924238
H1,30075,-6.945431e-05,0.010663725,0.003199879,0.011378894,0.013406649
H1,30076,-0.033892233,-0.035213836,-0.03238859,-0.033684578,-0.032141287
H1,30077,-0.0697384,-0.08857355,-0.07421252,-0.071178585,-0.0785653
H1,30078,-0.06183961,-0.058698185,-0.057181798,-0.057915024,-0.054737836
H1,30079,-0.009913806,-0.00742561,-0.0057771634,-0.01056575,-0.0052207764
H1,30080,0.0020598024,-0.004609827,0.00066771545,0.001666829,-0.0010738298
H1,30081,-0.034823842,-0.0329081,-0.03313507,-0.033398967,-0.032625914
H1,30082,-0.06787644,-0.06145054,-0.06375201,-0.06572901,-0.062060565
H1,30083,-0.05803852,-0.058646157,-0.05814331,-0.059074733,-0.05945709
H1,30084,-0.008366952,-0.0047843987,-0.0074385293,-0.0055497102,-0.0061318483
H1,30085,0.0047839824,0.015363564,0.009503262,0.008286111,0.015148295
H1,30086,-0.031827807,-0.030082524,-0.029993998,-0.032422647,-0.0336054
H1,30087,-0.06968112,-0.069041036,-0.06849214,-0.06916545,-0.07362202
H1,30088,-0.057544537,-0.05385035,-0.056305904,-0.056958843,-0.055603676
H1,30089,-0.0066444185,-0.0034119487,-0.0050541945,-0.004001934,-0.005475208
H1,30090,0.00838788,0.003262274,0.0036974922,0.0047556413,0.003726311
H1,30091,-0.03286591,-0.03373535,-0.032967273,-0.034048755,-0.03406795
H1,30092,-0.07691118,-0.06798373,-0.07309299,-0.068861485,-0.07289467
H1,30093,-0.057536148,-0.058582343,-0.061961606,-0.0595162,-0.06116257
H1,30094,-0.0032143537,-0.0060303956,-0.0003885068,-0.0051478595,-0.0066826884
H1,30095,0.004462708,0.0037057316,0.0072085224,0.005811617,0.0026575644
H1,30096,-0.029731713,-0.03177888,-0.033057436,-0.03189586,-0.03326174
H1,30097,-0.069999434,-0.067510694,-0.068570286,-0.06664199,-0.07207564
H1,30098,-0.05992186,-0.057182398,-0.06299022,-0.05997018,-0.061226334
H1,30099,-0.00071926415,0.003421478,-0.002820231,-0.00028045848,-0.0010140128
H1,30100,0.017312966,0.016854584,0.019788247,0.018032476,0.015546642
H1,30101,-0.03288679,-0.03531736,-0.034932658,-0.034302443,-0.033810977
H1,30102,-0.080313936,-0.07188008,-0.07688891,-0.07448438,-0.07600114
H1,30103,-0.050566733,-0.0461642,-0.049281217,-0.04848905,-0.04965634
H1,30104,-0.0085837245,-0.011988051,-0.013112746,-0.011973977,-0.011123411
H1,30105,-0.00048482418,-0.0018022135,0.0010880008,-0.0012922138,0.000796929
H1,30106,-0.023202032,-0.022618853,-0.023921791,-0.023268178,-0.023337744
H1,30107,-0.0778969,-0.078462616,-0.08054203,-0.07661797,-0.078219116
H1,30108,-0.065206856,-0.06674147,-0.06484188,-0.066487424,-0.06370043
H1,30109,0.01020775,0.011325059,0.009093814,0.008987591,0.007185273
H1,30110,0.014462009,0.016437627,0.016471203,0.019350257,0.018032588
H1,30111,-0.038236927,-0.04033081,-0.037650988,-0.03680563,-0.037212253
H1,30112,-0.05963877,-0.061557338,-0.061521664,-0.060683712,-0.063918635
H1,30113,-0.05812879,-0.05307071,-0.053714782,-0.05402577,-0.04830806
H1,30114,-0.010106422,-0.013758734,-0.013479009,-0.0123997405,-0.015445089
H1,30115,0.028781384,0.018467799,0.019588586,0.01850932,0.018600717
H1,30116,-0.03202504,-0.027501475,-0.028618503,-0.026568964,-0.024836577
H1,30117,-0.09057305,-0.08646271,-0.08775361,-0.08006543,-0.09291162
H1,30118,-0.061861604,-0.062716946,-0.063037604,-0.060937144,-0.06287556
H1,30119,0.004173599,0.0057151318,0.00556691,0.0066986755,0.008467231
H1,30120,0.013901815,0.013028163,0.013742823,0.016954076,0.012164194
H1,30121,-0.029046968,-0.030050237,-0.029296916,-0.027937904,-0.031756066
H1,30122,-0.06955224,-0.07069021,-0.06689645,-0.07026017,-0.06493327
H1,30123,-0.061705053,-0.06292363,-0.057870563,-0.057994984,-0.05667209
H1,30124,0.0069543365,0.0033452027,0.0029343031,0.0026483648,5.3113326e-05
H1,30125,0.028235694,0.025129067,0.024979405,0.014660511,0.024807826
H1,30126,-0.028378837,-0.027663335,-0.025068484,-0.023504257,-0.025943208
H1,30127,-0.07844193,-0.076647684,-0.07500963,-0.070689484,-0.07776648
H1,30128,-0.060096186,-0.0587392,-0.056881536,-0.061377183,-0.058237806
H1,30129,0.0044922624,0.004696898,0.0064694285,0.00826784,0.007948399
