unique_id,ds,y
H1,2024-01-01 00:00:00.000,-0.011873056321776
H1,2024-01-01 00:00:00.001,-0.0096395557842697
H1,2024-01-01 00:00:00.002,-0.00839378458172801
H1,2024-01-01 00:00:00.003,-0.00815373195061721
H1,2024-01-01 00:00:00.004,-0.00738643758348126
H1,2024-01-01 00:00:00.005,-0.00573581492515548
H1,2024-01-01 00:00:00.006,-0.00577131566761072
H1,2024-01-01 00:00:00.007,-0.00548775278535175
H1,2024-01-01 00:00:00.008,-0.00553123319019826
H1,2024-01-01 00:00:00.009,-0.00620757624310496
H1,2024-01-01 00:00:00.010,-0.00654609060107317
H1,2024-01-01 00:00:00.011,-0.00713883925769646
H1,2024-01-01 00:00:00.012,-0.00813237155269906
H1,2024-01-01 00:00:00.013,-0.0098059092875423
H1,2024-01-01 00:00:00.014,-0.0116374485799391
H1,2024-01-01 00:00:00.015,-0.0139158803430542
H1,2024-01-01 00:00:00.016,-0.0154653095597302
H1,2024-01-01 00:00:00.017,-0.016121788551859
H1,2024-01-01 00:00:00.018,-0.0168540163625065
H1,2024-01-01 00:00:00.019,-0.0179154197626419
H1,2024-01-01 00:00:00.020,-0.0189760001815755
H1,2024-01-01 00:00:00.021,-0.0202318919675359
H1,2024-01-01 00:00:00.022,-0.0212447105004674
H1,2024-01-01 00:00:00.023,-0.0223709880166595
H1,2024-01-01 00:00:00.024,-0.0226143952791107
H1,2024-01-01 00:00:00.025,-0.0231593819253124
H1,2024-01-01 00:00:00.026,-0.0245243028786907
H1,2024-01-01 00:00:00.027,-0.0259222397462452
H1,2024-01-01 00:00:00.028,-0.0267286730806575
H1,2024-01-01 00:00:00.029,-0.0268786064051426
H1,2024-01-01 00:00:00.030,-0.0272798002986175
H1,2024-01-01 00:00:00.031,-0.0278177830894183
H1,2024-01-01 00:00:00.032,-0.029123732294238
H1,2024-01-01 00:00:00.033,-0.0312447875494087
H1,2024-01-01 00:00:00.034,-0.0327645672038055
H1,2024-01-01 00:00:00.035,-0.0348091957469575
H1,2024-01-01 00:00:00.036,-0.0360401440209893
H1,2024-01-01 00:00:00.037,-0.0371308860631119
H1,2024-01-01 00:00:00.038,-0.0369171921420001
H1,2024-01-01 00:00:00.039,-0.0364223645104004
H1,2024-01-01 00:00:00.040,-0.0351877914111441
H1,2024-01-01 00:00:00.041,-0.0343448397295551
H1,2024-01-01 00:00:00.042,-0.0340357750959231
H1,2024-01-01 00:00:00.043,-0.0327749311301616
H1,2024-01-01 00:00:00.044,-0.0319646367239653
H1,2024-01-01 00:00:00.045,-0.0314229186187115
H1,2024-01-01 00:00:00.046,-0.0304364953987579
H1,2024-01-01 00:00:00.047,-0.0287779724893941
H1,2024-01-01 00:00:00.048,-0.0273019389671925
H1,2024-01-01 00:00:00.049,-0.0263253242614716
H1,2024-01-01 00:00:00.050,-0.025657971014581
H1,2024-01-01 00:00:00.051,-0.0251084017512393
H1,2024-01-01 00:00:00.052,-0.0246541312982984
H1,2024-01-01 00:00:00.053,-0.0241341151019017
H1,2024-01-01 00:00:00.054,-0.0232305838064692
H1,2024-01-01 00:00:00.055,-0.0226389008388968
H1,2024-01-01 00:00:00.056,-0.0225141184043161
H1,2024-01-01 00:00:00.057,-0.0221604498717264
H1,2024-01-01 00:00:00.058,-0.021321014594922
H1,2024-01-01 00:00:00.059,-0.0214679823324394
H1,2024-01-01 00:00:00.060,-0.0219103380678166
H1,2024-01-01 00:00:00.061,-0.0225154745938679
H1,2024-01-01 00:00:00.062,-0.0231658766760829
H1,2024-01-01 00:00:00.063,-0.0239621379998564
H1,2024-01-01 00:00:00.064,-0.0249097485555602
H1,2024-01-01 00:00:00.065,-0.0250384687849914
H1,2024-01-01 00:00:00.066,-0.0246027666040808
H1,2024-01-01 00:00:00.067,-0.0241828122441479
H1,2024-01-01 00:00:00.068,-0.0242351547578143
H1,2024-01-01 00:00:00.069,-0.0244056511255924
H1,2024-01-01 00:00:00.070,-0.0241661477237054
H1,2024-01-01 00:00:00.071,-0.0238125036345372
H1,2024-01-01 00:00:00.072,-0.0232421212829328
H1,2024-01-01 00:00:00.073,-0.0228177370908512
H1,2024-01-01 00:00:00.074,-0.0222154491308844
H1,2024-01-01 00:00:00.075,-0.0209873909359755
H1,2024-01-01 00:00:00.076,-0.0200562497148495
H1,2024-01-01 00:00:00.077,-0.0188875374385666
H1,2024-01-01 00:00:00.078,-0.0176381768654129
H1,2024-01-01 00:00:00.079,-0.0163687859819627
H1,2024-01-01 00:00:00.080,-0.0156626110274028
H1,2024-01-01 00:00:00.081,-0.0153403226891245
H1,2024-01-01 00:00:00.082,-0.0146643215025509
H1,2024-01-01 00:00:00.083,-0.0136774723265365
H1,2024-01-01 00:00:00.084,-0.0128503856594796
H1,2024-01-01 00:00:00.085,-0.012297625887003
H1,2024-01-01 00:00:00.086,-0.0117845621663613
H1,2024-01-01 00:00:00.087,-0.0111472648784541
H1,2024-01-01 00:00:00.088,-0.0114064044270568
H1,2024-01-01 00:00:00.089,-0.0118191066523413
H1,2024-01-01 00:00:00.090,-0.0108395379551541
H1,2024-01-01 00:00:00.091,-0.00937474522562019
H1,2024-01-01 00:00:00.092,-0.00836198107193776
H1,2024-01-01 00:00:00.093,-0.00813450303966372
H1,2024-01-01 00:00:00.094,-0.00783147144112901
H1,2024-01-01 00:00:00.095,-0.007561032657216
H1,2024-01-01 00:00:00.096,-0.0064189492733792
H1,2024-01-01 00:00:00.097,-0.00525658610862352
H1,2024-01-01 00:00:00.098,-0.0048319276893856
H1,2024-01-01 00:00:00.099,-0.00443090625543957
H1,2024-01-01 00:00:00.100,-0.00407309437741866
H1,2024-01-01 00:00:00.101,-0.00399340689302109
H1,2024-01-01 00:00:00.102,-0.00453809157474958
H1,2024-01-01 00:00:00.103,-0.00508249990067143
H1,2024-01-01 00:00:00.104,-0.00645228136044695
H1,2024-01-01 00:00:00.105,-0.00705777377950352
H1,2024-01-01 00:00:00.106,-0.00758076162299158
H1,2024-01-01 00:00:00.107,-0.00870552000386128
H1,2024-01-01 00:00:00.108,-0.00988712793541394
H1,2024-01-01 00:00:00.109,-0.0108925264743179
H1,2024-01-01 00:00:00.110,-0.0115926106846833
H1,2024-01-01 00:00:00.111,-0.0122758523655732
H1,2024-01-01 00:00:00.112,-0.0126449608175718
H1,2024-01-01 00:00:00.113,-0.0136425036792185
H1,2024-01-01 00:00:00.114,-0.0148997235332029
H1,2024-01-01 00:00:00.115,-0.0163207294239666
H1,2024-01-01 00:00:00.116,-0.0172880214737897
H1,2024-01-01 00:00:00.117,-0.0182824489751175
H1,2024-01-01 00:00:00.118,-0.0197191337706012
H1,2024-01-01 00:00:00.119,-0.020923118345515
H1,2024-01-01 00:00:00.120,-0.0222671169673808
H1,2024-01-01 00:00:00.121,-0.023805528260186
H1,2024-01-01 00:00:00.122,-0.0261101756720294
H1,2024-01-01 00:00:00.123,-0.028540270257461
H1,2024-01-01 00:00:00.124,-0.0312176809788027
H1,2024-01-01 00:00:00.125,-0.0327482973042331
H1,2024-01-01 00:00:00.126,-0.0340479679201344
H1,2024-01-01 00:00:00.127,-0.036131124904636
H1,2024-01-01 00:00:00.128,-0.0391934304088833
H1,2024-01-01 00:00:00.129,-0.0427738714505418
H1,2024-01-01 00:00:00.130,-0.0467262005084681
H1,2024-01-01 00:00:00.131,-0.0500662697785532
H1,2024-01-01 00:00:00.132,-0.0530532808144543
H1,2024-01-01 00:00:00.133,-0.0558718636371238
H1,2024-01-01 00:00:00.134,-0.057722603939979
H1,2024-01-01 00:00:00.135,-0.0594908355596458
H1,2024-01-01 00:00:00.136,-0.0614225973464947
H1,2024-01-01 00:00:00.137,-0.0626042040075984
H1,2024-01-01 00:00:00.138,-0.0645210051841244
H1,2024-01-01 00:00:00.139,-0.0674531437048138
H1,2024-01-01 00:00:00.140,-0.0696504740412591
H1,2024-01-01 00:00:00.141,-0.0711425284933979
H1,2024-01-01 00:00:00.142,-0.0727000689326837
H1,2024-01-01 00:00:00.143,-0.073791369157336
H1,2024-01-01 00:00:00.144,-0.075108131520815
H1,2024-01-01 00:00:00.145,-0.0768375737566572
H1,2024-01-01 00:00:00.146,-0.0792099640879344
H1,2024-01-01 00:00:00.147,-0.0820460892024401
H1,2024-01-01 00:00:00.148,-0.0845183067735061
H1,2024-01-01 00:00:00.149,-0.0860448005519944
H1,2024-01-01 00:00:00.150,-0.0876876691978118
H1,2024-01-01 00:00:00.151,-0.0894141590376983
H1,2024-01-01 00:00:00.152,-0.0913530148615639
H1,2024-01-01 00:00:00.153,-0.0926958780085901
H1,2024-01-01 00:00:00.154,-0.0948637745201974
H1,2024-01-01 00:00:00.155,-0.0972326763450568
H1,2024-01-01 00:00:00.156,-0.100077024285391
H1,2024-01-01 00:00:00.157,-0.102146556359635
H1,2024-01-01 00:00:00.158,-0.103650172058414
H1,2024-01-01 00:00:00.159,-0.104942373083868
H1,2024-01-01 00:00:00.160,-0.105830279315861
H1,2024-01-01 00:00:00.161,-0.108255266452415
H1,2024-01-01 00:00:00.162,-0.110678100358291
H1,2024-01-01 00:00:00.163,-0.112764051162217
H1,2024-01-01 00:00:00.164,-0.114929515771988
H1,2024-01-01 00:00:00.165,-0.116235266657936
H1,2024-01-01 00:00:00.166,-0.117899594187733
H1,2024-01-01 00:00:00.167,-0.11988549727971
H1,2024-01-01 00:00:00.168,-0.121814246010477
H1,2024-01-01 00:00:00.169,-0.123976564484208
H1,2024-01-01 00:00:00.170,-0.125559109764557
H1,2024-01-01 00:00:00.171,-0.127181200524318
H1,2024-01-01 00:00:00.172,-0.128434748230496
H1,2024-01-01 00:00:00.173,-0.129322273217326
H1,2024-01-01 00:00:00.174,-0.130499224400233
H1,2024-01-01 00:00:00.175,-0.132416655532667
H1,2024-01-01 00:00:00.176,-0.133343524389448
H1,2024-01-01 00:00:00.177,-0.133344138260697
H1,2024-01-01 00:00:00.178,-0.132575407781456
H1,2024-01-01 00:00:00.179,-0.131518086689339
H1,2024-01-01 00:00:00.180,-0.130887909529942
H1,2024-01-01 00:00:00.181,-0.130574595062763
H1,2024-01-01 00:00:00.182,-0.13045907287818
H1,2024-01-01 00:00:00.183,-0.130686366855182
H1,2024-01-01 00:00:00.184,-0.129903859977213
