unique_id,ds,RNN-median,RNN-lo-90,RNN-lo-80,RNN-hi-80,RNN-hi-90
H1,8000,0.03543768,0.035484884,0.034763593,0.03888324,0.043238528
H1,8001,0.052968197,0.043123864,0.04960024,0.054636873,0.05506817
H1,8002,0.04274384,0.0438796,0.0419937,0.04563172,0.048025355
H1,8003,0.04239636,0.041114878,0.04007528,0.049999442,0.052806497
H1,8004,0.049650602,0.04728701,0.046582334,0.05240327,0.053171773
H1,8005,0.047902457,0.04563702,0.045246106,0.04917722,0.051213957
H1,8006,0.05293961,0.049762055,0.048441067,0.056204207,0.055217374
H1,8007,0.059943542,0.053813122,0.055911254,0.062705815,0.065972134
H1,8008,0.04146778,0.041341532,0.041186057,0.04562683,0.048208855
H1,8009,0.037723254,0.036225684,0.034098253,0.04119456,0.044975564
H1,8010,0.04813084,0.04443442,0.04875043,0.05162951,0.050864875
H1,8011,0.053638887,0.049094643,0.049443692,0.054607123,0.055763025
H1,8012,0.051856186,0.047535833,0.047973674,0.05232115,0.053765085
H1,8013,0.04783772,0.04553391,0.04764039,0.048179656,0.049163155
H1,8014,0.04861469,0.044082273,0.04565082,0.048949808,0.05338434
H1,8015,0.058053825,0.054140348,0.052978877,0.057042036,0.05869101
H1,8016,0.05703225,0.05318178,0.052950725,0.06040387,0.059680387
H1,8017,0.049211163,0.046639282,0.048911795,0.051210042,0.053988133
H1,8018,0.049890045,0.04446679,0.045077972,0.048641443,0.050876398
H1,8019,0.055530444,0.049657587,0.052377693,0.05347204,0.05580485
H1,8020,0.053193185,0.051735777,0.051780257,0.056469698,0.058376856
H1,8021,0.058787912,0.055279568,0.054472253,0.059488695,0.061232947
H1,8022,0.051732276,0.047064237,0.047588024,0.052615013,0.054017745
H1,8023,0.05556201,0.051615212,0.053170394,0.058825362,0.0618657
H1,8024,0.05933034,0.05658609,0.05628078,0.061514013,0.06448081
H1,8025,0.057177607,0.055044156,0.055144843,0.058076367,0.061038617
H1,8026,0.056827687,0.05142062,0.0536001,0.057797134,0.05894482
H1,8027,0.06032545,0.05564176,0.054586876,0.0616913,0.062129054
H1,8028,0.057436854,0.0555341,0.053372618,0.061834067,0.06222658
H1,8029,0.06103617,0.058662523,0.057470586,0.0650127,0.06689082
H1,8030,0.057419237,0.05247945,0.053739496,0.057886526,0.06291343
H1,8031,0.064837284,0.06295224,0.061696067,0.06668705,0.06858531
H1,8032,0.06303063,0.059465278,0.05888089,0.067909524,0.06767684
H1,8033,0.05626469,0.05266546,0.05305965,0.057699308,0.0580793
H1,8034,0.06591949,0.06300195,0.06236567,0.06807405,0.06808552
H1,8035,0.06391288,0.061018128,0.059329644,0.06526758,0.06746208
H1,8036,0.06797135,0.06616974,0.06594582,0.073055014,0.07422006
H1,8037,0.06647451,0.061980814,0.06388596,0.067672476,0.072267264
H1,8038,0.055920333,0.05418063,0.055923235,0.063460216,0.06502734
H1,8039,0.0687837,0.06409408,0.06564575,0.0710745,0.07235799
H1,8040,0.06882111,0.062214743,0.0659149,0.07097826,0.07343458
H1,8041,0.0705997,0.068250895,0.067461714,0.07266792,0.0734775
H1,8042,0.07627925,0.073401526,0.073462635,0.078183144,0.08134282
H1,8043,0.060633298,0.058172546,0.057771616,0.06477463,0.06770026
H1,8044,0.071741745,0.0706032,0.07054755,0.076072045,0.07733466
H1,8045,0.06715034,0.06184266,0.06631149,0.067792304,0.06902667
H1,8046,0.06784155,0.0645555,0.06524273,0.07209598,0.074998036
H1,8047,0.07608134,0.0726981,0.072696805,0.07838197,0.08300576
H1,8048,0.068579584,0.067392185,0.068011634,0.073363386,0.07597768
H1,8049,0.06917563,0.066943854,0.0664144,0.07070628,0.07306445
H1,8050,0.07280029,0.07062,0.069194324,0.074569374,0.07871312
H1,8051,0.07244621,0.068549946,0.06975833,0.07621801,0.077512294
H1,8052,0.0724346,0.069974326,0.07116045,0.075252146,0.077629
H1,8053,0.07283646,0.069686115,0.070974246,0.078519545,0.07899429
H1,8054,0.072898835,0.069327205,0.069675125,0.07666746,0.07808459
H1,8055,0.07814124,0.07537247,0.07653819,0.08167889,0.082935125
H1,8056,0.071286455,0.07020208,0.071392715,0.07910277,0.0815953
H1,8057,0.07116571,0.07044694,0.069644004,0.07539776,0.07844983
H1,8058,0.07634391,0.075048216,0.073762104,0.078941666,0.08052657
H1,8059,0.07618198,0.073480174,0.074520975,0.07774426,0.07897314
H1,8060,0.07157861,0.068027094,0.0689269,0.07561068,0.07635808
H1,8061,0.07628043,0.069457725,0.07202949,0.07605712,0.07779795
H1,8062,0.07585397,0.07257619,0.07413929,0.07883501,0.080753036
H1,8063,0.07332444,0.0708022,0.07206671,0.07687573,0.07679126
H1,8064,0.076711,0.073164225,0.07303604,0.0764101,0.08026301
H1,8065,0.07753812,0.07258764,0.07611638,0.0779407,0.07885748
H1,8066,0.0737496,0.06785926,0.07371636,0.07567677,0.078176
H1,8067,0.07866019,0.074217364,0.07548912,0.08031842,0.08160205
H1,8068,0.07248507,0.06655216,0.06716657,0.07378025,0.077544376
H1,8069,0.07440287,0.071553454,0.073307484,0.07923443,0.08458005
H1,8070,0.079915784,0.074221306,0.075839415,0.08162431,0.08468066
H1,8071,0.061508704,0.058983557,0.062716596,0.06543811,0.06588863
H1,8072,0.072566,0.07212581,0.07101281,0.07719826,0.079948425
H1,8073,0.07369797,0.07146424,0.07208498,0.07683122,0.07766667
H1,8074,0.07306384,0.071492046,0.07137896,0.07702945,0.07898665
H1,8075,0.07886672,0.07509564,0.076220654,0.08137589,0.08416022
H1,8076,0.07115136,0.06778951,0.06781873,0.075668536,0.07547158
H1,8077,0.0781897,0.076701,0.07481186,0.08169425,0.0821653
H1,8078,0.078102,0.075984806,0.07589467,0.08083143,0.0820345
H1,8079,0.07160419,0.06955427,0.071914494,0.07600463,0.07742033
H1,8080,0.07103667,0.06916115,0.06793149,0.07308166,0.07603472
H1,8081,0.074511304,0.07000339,0.073243074,0.07682824,0.07891695
H1,8082,0.06969534,0.070040464,0.06990282,0.07560165,0.07713912
H1,8083,0.07197195,0.06497216,0.06892121,0.0720287,0.07716727
H1,8084,0.07579271,0.072928816,0.07492091,0.07962575,0.08149786
H1,8085,0.07067337,0.06772229,0.0670618,0.07527303,0.07764818
H1,8086,0.07861749,0.07421886,0.07344607,0.07933545,0.081589006
H1,8087,0.076247446,0.071323305,0.07417126,0.07802001,0.08192003
H1,8088,0.073209345,0.06752969,0.068947285,0.074794695,0.07959604
H1,8089,0.06834765,0.069545545,0.06840018,0.07335437,0.076918356
H1,8090,0.068385735,0.06483779,0.06535103,0.07179843,0.07098701
H1,8091,0.081231914,0.08117879,0.07918245,0.08489398,0.08691206
H1,8092,0.07286599,0.069123805,0.07143112,0.076005116,0.07703913
H1,8093,0.06326182,0.060723126,0.0632374,0.067854345,0.06727539
H1,8094,0.06753737,0.06610211,0.06754381,0.07485625,0.07595343
H1,8095,0.07150902,0.065996565,0.071477704,0.07421762,0.075128555
H1,8096,0.07632995,0.072028674,0.07090788,0.07686673,0.07903029
H1,8097,0.0716302,0.06979902,0.06960369,0.07413823,0.07731424
H1,8098,0.071734816,0.0694067,0.069684446,0.07480016,0.075458154
H1,8099,0.075920865,0.07155972,0.07250711,0.07689261,0.07718697
