unique_id,ds,RNN,RNN-lo-90,RNN-lo-80,RNN-hi-80,RNN-hi-90
H1,8000,0.076279484,0.07213991,0.073969394,0.07897623,0.08386491
H1,8001,0.061046574,0.057827037,0.055938154,0.06748802,0.07074315
H1,8002,0.082961366,0.08125889,0.08194097,0.08678143,0.089336164
H1,8003,0.07380897,0.06674808,0.07208818,0.0714056,0.07213665
H1,8004,0.084358186,0.084985346,0.0808657,0.085965216,0.08696368
H1,8005,0.08373698,0.08179211,0.08304191,0.08643001,0.09332695
H1,8006,0.062564105,0.05999009,0.06155555,0.06587838,0.069861874
H1,8007,0.08455178,0.08079918,0.08251292,0.08665793,0.08861142
H1,8008,0.068014465,0.0566415,0.07095376,0.07425883,0.07454844
H1,8009,0.090868585,0.08218805,0.0843881,0.08978345,0.093069024
H1,8010,0.080191225,0.07335875,0.0758733,0.08309711,0.08247708
H1,8011,0.06461767,0.06248921,0.06447082,0.067957684,0.07186125
H1,8012,0.07760653,0.07201744,0.07601631,0.07746888,0.07610598
H1,8013,0.07152916,0.06816643,0.07442016,0.0751474,0.07341713
H1,8014,0.052163262,0.04712769,0.0520973,0.057038233,0.05828656
H1,8015,0.07498968,0.07098606,0.07094249,0.07911801,0.08194208
H1,8016,0.07985188,0.074704684,0.06968789,0.07985555,0.08858459
H1,8017,0.06836387,0.0647849,0.068732694,0.066004224,0.07195186
H1,8018,0.07085782,0.069027096,0.07504992,0.07425393,0.08234712
H1,8019,0.059353847,0.054715473,0.058668356,0.068883374,0.06437528
H1,8020,0.062018964,0.060095333,0.061269622,0.06297438,0.06321498
H1,8021,0.073709704,0.066798076,0.068243496,0.07609479,0.078508146
H1,8022,0.077714354,0.062477924,0.0699298,0.07870681,0.074002825
H1,8023,0.08121766,0.07031459,0.07406797,0.07768475,0.07961601
H1,8024,0.05988261,0.063517705,0.059972405,0.06243428,0.06680757
H1,8025,0.06369708,0.056192853,0.06049064,0.065320015,0.06575961
H1,8026,0.06756815,0.05683533,0.057282694,0.06941417,0.07298042
H1,8027,0.06234645,0.05426141,0.055622377,0.057711046,0.061335135
H1,8028,0.079871036,0.07336294,0.07432422,0.08097107,0.083180465
H1,8029,0.054774493,0.055641938,0.058907565,0.05888893,0.055197384
H1,8030,0.058161706,0.046013147,0.05089126,0.05146018,0.049560934
H1,8031,0.050373726,0.047424164,0.04774119,0.0512037,0.054808512
H1,8032,0.05543045,0.05148086,0.051675778,0.06026428,0.061706133
H1,8033,0.052196845,0.05217294,0.055036712,0.056933947,0.055850424
H1,8034,0.066302106,0.061724477,0.062592,0.06952593,0.07364006
H1,8035,0.07191356,0.06685671,0.071586706,0.07076043,0.07472091
H1,8036,0.06226251,0.055858012,0.058786824,0.06675688,0.073444515
H1,8037,0.048557784,0.049295273,0.051241282,0.053096548,0.059066247
H1,8038,0.05000367,0.046013437,0.049753893,0.05959465,0.061074257
H1,8039,0.04565543,0.04254261,0.043741547,0.050095323,0.051983073
H1,8040,0.046204835,0.045367017,0.045943107,0.054434028,0.047396876
H1,8041,0.038235754,0.03769398,0.03927113,0.04240479,0.04624035
H1,8042,0.049618497,0.047735028,0.04570863,0.057515398,0.059929986
H1,8043,0.036127966,0.031660937,0.035328534,0.046755534,0.033137962
H1,8044,0.051615443,0.044420242,0.0537486,0.055981718,0.055932842
H1,8045,0.04404805,0.035036385,0.04620602,0.04488934,0.047675915
H1,8046,0.06057119,0.05515063,0.057328574,0.06036301,0.062252883
H1,8047,0.031911552,0.025852058,0.031009842,0.03476138,0.039368108
H1,8048,0.055101022,0.053102795,0.051780067,0.06166384,0.054578956
H1,8049,0.059467044,0.056410886,0.058583193,0.0689947,0.06277627
H1,8050,0.031849425,0.03761361,0.036107693,0.037414752,0.040519778
H1,8051,0.04750824,0.044167247,0.04291739,0.051764682,0.051166568
H1,8052,0.040892217,0.037081376,0.038691763,0.046357714,0.05176414
H1,8053,0.04202624,0.04085177,0.036538318,0.046096772,0.050239637
H1,8054,0.042434845,0.03442832,0.041600626,0.047510587,0.04677564
H1,8055,0.04244199,0.036283117,0.04296799,0.067810245,0.05919787
H1,8056,0.037381116,0.0373899,0.03964891,0.0393634,0.040552467
H1,8057,0.07142134,0.06000178,0.06290439,0.07628923,0.07351299
H1,8058,0.048509628,0.03835239,0.04794238,0.049054794,0.050009444
H1,8059,0.052089717,0.043289408,0.038522866,0.05445163,0.057723127
H1,8060,0.03835879,0.035709564,0.038333725,0.038789205,0.037692767
H1,8061,0.057473406,0.04800136,0.056251038,0.06032728,0.06097014
H1,8062,0.05299863,0.043792102,0.045534257,0.06355173,0.05375854
H1,8063,0.041877486,0.04237708,0.04297696,0.04402014,0.045227773
H1,8064,0.06358627,0.058786552,0.053994764,0.06154119,0.062127132
H1,8065,0.0475776,0.045602545,0.04407213,0.05084815,0.053922962
H1,8066,0.036490034,0.03125599,0.031354632,0.043665465,0.044605616
H1,8067,0.04455043,0.043657735,0.04386062,0.05128391,0.054338768
H1,8068,0.0389807,0.028151866,0.034149718,0.047911618,0.044869926
H1,8069,0.04158902,0.040738452,0.036960315,0.044730317,0.044597205
H1,8070,0.044008236,0.042607583,0.042556804,0.049912058,0.050284572
H1,8071,0.047670644,0.041876603,0.043034293,0.053310275,0.053967133
H1,8072,0.03823826,0.03363521,0.039022908,0.04209156,0.04359919
H1,8073,0.04080244,0.03414579,0.03745421,0.041960135,0.0431527
H1,8074,0.03597274,0.03095818,0.040433377,0.041603424,0.044242416
H1,8075,0.049934894,0.046367195,0.048060514,0.055203382,0.05824385
H1,8076,0.054270584,0.049301825,0.049625013,0.057307024,0.058893412
H1,8077,0.023350248,0.020428058,0.017802969,0.025978267,0.03361394
H1,8078,0.03886889,0.03486835,0.03232082,0.04037339,0.03917738
H1,8079,0.041109167,0.034619667,0.04171483,0.05068903,0.05310565
H1,8080,0.04310219,0.039916888,0.04204202,0.048849232,0.050974295
H1,8081,0.034676652,0.031658627,0.02991106,0.038318608,0.044556785
H1,8082,0.052190587,0.046005916,0.046018336,0.05823137,0.056487545
H1,8083,0.036728825,0.035301674,0.035107385,0.038355995,0.039587744
H1,8084,0.035451017,0.032552913,0.031076565,0.036622018,0.041300897
H1,8085,0.03759173,0.03224403,0.033773728,0.04352211,0.04536879
H1,8086,0.03813467,0.034518044,0.031070486,0.042438705,0.046290476
H1,8087,0.050763544,0.042490408,0.04680832,0.052385837,0.05366223
H1,8088,0.040625192,0.031142622,0.038500484,0.044687066,0.04238636
H1,8089,0.035588313,0.030232824,0.031548053,0.03850831,0.03994172
H1,8090,0.027796306,0.024563842,0.027847473,0.031341925,0.028350595
H1,8091,0.033117656,0.027668592,0.03558072,0.041457757,0.042389594
H1,8092,0.026628193,0.02039782,0.02250986,0.02923121,0.030944105
H1,8093,0.04548865,0.04277097,0.045460258,0.049432293,0.049729414
H1,8094,0.029519495,0.023790035,0.026568327,0.03719333,0.039545696
H1,8095,0.035239566,0.019727955,0.032377753,0.038553428,0.035299663
H1,8096,0.033301212,0.028777782,0.034298904,0.038557798,0.039359186
H1,8097,0.032935295,0.02867879,0.030325793,0.03334067,0.035922848
H1,8098,0.051330037,0.04176489,0.040857922,0.057927508,0.06505557
H1,8099,0.042562194,0.04004337,0.04302305,0.047222685,0.048180807
H1,8100,0.034659814,0.021795753,0.027829222,0.041309353,0.049250584
H1,8101,0.033589352,0.028336681,0.031013396,0.040369693,0.039579608
H1,8102,0.027465187,0.019454528,0.027215667,0.03339157,0.03133172
H1,8103,0.037663337,0.033451397,0.034855533,0.04169895,0.042036716
H1,8104,0.04167504,0.03590567,0.03906004,0.04278561,0.044997852
H1,8105,0.0072622523,-0.0029786238,0.00092822034,0.008942577,0.0043334276
H1,8106,0.05041044,0.033731963,0.041111026,0.052632146,0.055574037
H1,8107,0.032185778,0.033073444,0.030152362,0.042645898,0.04560651
H1,8108,0.030787833,0.02290512,0.023953553,0.03394231,0.03331831
H1,8109,0.051687468,0.041912816,0.046143588,0.055273052,0.06258893
H1,8110,0.024387363,0.02092359,0.025018767,0.0270276,0.03305071
H1,8111,0.030572407,0.023459274,0.026124492,0.03575308,0.03471719
H1,8112,0.042531934,0.03221266,0.03579115,0.04901625,0.05444463
H1,8113,0.04583935,0.034548495,0.04093188,0.045297056,0.049192492
H1,8114,0.023251163,0.020287344,0.028122496,0.03079458,0.027580768
H1,8115,0.034681007,0.024334583,0.02852543,0.03551277,0.04183522
H1,8116,0.044253305,0.033581696,0.03388672,0.04425402,0.049008455
H1,8117,0.032992713,0.022023264,0.025596648,0.044246867,0.037967708
H1,8118,0.037735503,0.03002398,0.038758036,0.050409067,0.0453838
H1,8119,0.028749865,0.0230195,0.028226808,0.035210755,0.03616766
H1,8120,0.056166522,0.043349497,0.0477833,0.061370313,0.06196655
H1,8121,0.030067284,0.030030359,0.022284728,0.0339855,0.047436528
H1,8122,0.053015966,0.036131375,0.04110926,0.063031614,0.06531223
H1,8123,0.041625217,0.027692508,0.03122114,0.045021746,0.042526186
H1,8124,0.03649522,0.029978532,0.032730345,0.04952464,0.050377335
H1,8125,0.037795663,0.031203467,0.033939578,0.048014026,0.048020083
H1,8126,0.045688104,0.037838258,0.04618851,0.058414787,0.057207998
H1,8127,0.026967067,0.021417946,0.02856129,0.033991136,0.037578072
H1,8128,0.02230234,0.014967133,0.016705103,0.026710715,0.029322501
H1,8129,0.028520554,0.011407436,0.019354496,0.036913544,0.029537313
H1,8130,0.033281274,0.023003936,0.025731605,0.03466422,0.037158728
H1,8131,0.02980462,0.01437798,0.02171034,0.036024794,0.034209482
H1,8132,0.03510796,0.030816004,0.03639314,0.04265178,0.038308106
H1,8133,0.017744904,0.0131113175,0.020621572,0.024566028,0.02189269
H1,8134,0.025707122,0.017346794,0.02202267,0.029869072,0.034296773
H1,8135,0.040716883,0.03289151,0.035077937,0.049020253,0.04394402
H1,8136,0.04891725,0.042246245,0.04740354,0.061410483,0.061564356
H1,8137,0.044996776,0.03003234,0.034621596,0.0524941,0.04788886
H1,8138,0.04041283,0.02817785,0.039092764,0.046078343,0.042349216
H1,8139,0.035334993,0.016422844,0.025046065,0.041734267,0.044713426
H1,8140,0.009732904,0.009895893,0.0040445193,0.011776318,0.016181272
H1,8141,0.017699644,0.0034937426,0.017899312,0.023857096,0.02867625
H1,8142,0.03371441,0.026077054,0.028164826,0.039718013,0.039872058
H1,8143,0.043774936,0.030287556,0.03963607,0.04570337,0.04917174
H1,8144,0.02142379,0.0199425,0.017399237,0.02726202,0.029729437
H1,8145,0.046250027,0.03442457,0.03695938,0.053389195,0.056366213
H1,8146,0.034855507,0.017977787,0.03343219,0.038513895,0.040627558
H1,8147,0.027083367,0.016918449,0.024471879,0.029045418,0.026765816
H1,8148,0.04255469,0.03516448,0.040491287,0.04493629,0.043927997
H1,8149,0.032083135,0.023083538,0.026954938,0.033480268,0.037510525
H1,8150,0.024052788,0.009772515,0.018248789,0.025955185,0.022207322
H1,8151,0.020988408,0.004391775,0.020835187,0.032278508,0.034649972
H1,8152,0.024839867,0.012195483,0.019296708,0.023680827,0.020798445
H1,8153,0.042365614,0.02954255,0.03289223,0.04466161,0.048874475
H1,8154,0.034338515,0.030490741,0.029120214,0.043514885,0.044965636
H1,8155,0.021480244,0.016211377,0.019122561,0.0252086,0.024763387
H1,8156,0.040270604,0.02832139,0.038153246,0.049987886,0.05312718
H1,8157,0.041024573,0.024287865,0.03511926,0.04967046,0.047519457
H1,8158,0.034987375,0.030357793,0.030900832,0.041442905,0.044982396
H1,8159,0.026063956,0.02193465,0.020564232,0.026128173,0.034342293
H1,8160,0.026897952,0.026267339,0.018057827,0.030212995,0.024263974
H1,8161,0.048117183,0.033651922,0.04300991,0.04735618,0.049447183
H1,8162,0.010307908,0.0013821982,0.0055375844,0.00741882,0.0064793536
H1,8163,0.028459825,0.015126862,0.028232351,0.034927323,0.03533169
H1,8164,0.028417446,0.017100947,0.026129827,0.029632863,0.027011774
H1,8165,0.029166404,0.022078233,0.026636899,0.03051462,0.03678854
H1,8166,0.018458009,0.0092531,0.018183384,0.019904431,0.028845534
H1,8167,0.026304912,0.022428572,0.02539761,0.03154369,0.02709103
H1,8168,0.04505637,0.03453208,0.039211407,0.050856363,0.054953665
H1,8169,0.03816649,0.03399129,0.033526413,0.047933716,0.04465271
H1,8170,0.0071124295,0.0011757901,0.009250104,0.011895091,0.012124715
H1,8171,0.036688775,0.029399067,0.028405,0.03501683,0.039290786
H1,8172,0.02474495,0.015543668,0.020416325,0.025999978,0.023470286
H1,8173,0.0092069255,0.00066544954,0.0046384973,0.008240448,0.005195271
H1,8174,0.033669177,0.019888055,0.035054818,0.039999586,0.036415905
H1,8175,0.041877463,0.028744858,0.033829093,0.04570919,0.050079767
H1,8176,0.028143547,0.01914204,0.015836548,0.029836528,0.023230929
H1,8177,0.029547501,0.016906077,0.019239202,0.0301537,0.04689155
H1,8178,0.051552605,0.03964915,0.044309676,0.047680203,0.05213296
H1,8179,0.033712454,0.025407236,0.027964775,0.043529242,0.04695419
H1,8180,0.029383987,0.021160517,0.03119453,0.03425373,0.030157212
H1,8181,0.045661744,0.033409733,0.037390538,0.051276576,0.054588594
H1,8182,0.009199712,0.005202198,0.011721099,0.014089238,0.01372513
