unique_id,ds,RNN-median,RNN-lo-90,RNN-lo-80,RNN-hi-80,RNN-hi-90
H1,10000,-0.015418746,-0.017655184,-0.019602546,-0.013534276,-0.013201838
H1,10001,-0.008558098,-0.0094046015,-0.01233192,-0.0052636205,-0.003302156
H1,10002,-0.00045925356,0.0009130135,-0.0026192735,0.003598717,0.0057890527
H1,10003,-0.01671278,-0.018603576,-0.020073041,-0.0118044,-0.012726944
H1,10004,-0.014249872,-0.019183554,-0.019589998,-0.010780571,-0.010653539
H1,10005,-0.007848619,-0.008976793,-0.009555055,-0.004866122,-0.005022316
H1,10006,-0.009601332,-0.010648476,-0.013139566,-0.005101319,-0.0042449157
H1,10007,0.0017410571,0.0007030419,-0.0014166371,0.0045284713,0.0042196894
H1,10008,-0.0013033017,-0.0033505256,-0.001649715,0.002909792,0.004514095
H1,10009,-0.0057938485,-0.0052319397,-0.009188427,-0.0028151632,-0.00026007672
H1,10010,-0.0058862944,-0.0054826024,-0.0076204375,-0.0032370123,-0.001964029
H1,10011,-0.0027365843,-0.0050653475,-0.007454002,0.00020252424,0.0010362797
H1,10012,0.0077907704,0.0068166186,0.005909159,0.0088542085,0.013186818
H1,10013,-0.0040793465,-0.0057503195,-0.0059693553,-0.0018787454,-0.0020640949
H1,10014,0.018678783,0.014961172,0.012879156,0.021123925,0.023542713
H1,10015,0.032089274,0.027928011,0.028154809,0.03428268,0.03780302
H1,10016,0.0062187538,0.00350387,0.0046464326,0.0130532775,0.011296077
H1,10017,0.018902082,0.014150975,0.014570951,0.020460512,0.02148848
H1,10018,0.013682207,0.010408683,0.01209395,0.016211642,0.01535313
H1,10019,0.008592673,0.0054501244,0.0029375243,0.009913673,0.011886973
H1,10020,0.019092621,0.017074894,0.016157646,0.024152901,0.022621991
H1,10021,-0.0023975559,-0.006241471,-0.006528336,-0.00034166663,-0.00039507356
H1,10022,0.0042605796,0.002957265,0.0033049602,0.005997631,0.008490567
H1,10023,0.007140966,0.006584096,0.0039273165,0.011404093,0.009833556
H1,10024,0.020281909,0.017768487,0.018790245,0.022918748,0.023177454
H1,10025,0.008402479,0.005121341,0.004896242,0.010305859,0.009405804
H1,10026,0.019291041,0.013348067,0.0137563385,0.01770924,0.021957338
H1,10027,0.030074984,0.029435022,0.02654892,0.034246344,0.03637856
H1,10028,0.024521314,0.01878696,0.019406587,0.02775517,0.026961463
