unique_id,ds,RNN,RNN-lo-90,RNN-lo-80,RNN-hi-80,RNN-hi-90
H1,6000,-0.06423972,-0.068574585,-0.062935494,-0.06190033,-0.057925645
H1,6001,-0.07982627,-0.07868581,-0.08026918,-0.07580058,-0.0742616
H1,6002,-0.08500575,-0.09076236,-0.083393134,-0.08235933,-0.08272962
H1,6003,-0.09398359,-0.10149842,-0.09719193,-0.094677284,-0.08498527
H1,6004,-0.09322445,-0.09117054,-0.089009844,-0.0854948,-0.08615923
H1,6005,-0.0964179,-0.09781925,-0.09411003,-0.09305728,-0.09276584
H1,6006,-0.10149406,-0.10409712,-0.1007689,-0.10273013,-0.095695175
H1,6007,-0.09100869,-0.09188479,-0.087833956,-0.08691752,-0.08453475
H1,6008,-0.087214015,-0.08746917,-0.085685074,-0.08229913,-0.08383755
H1,6009,-0.07574608,-0.08143704,-0.07912951,-0.07922126,-0.0762173
H1,6010,-0.09396001,-0.095909886,-0.092579015,-0.092899576,-0.09011567
H1,6011,-0.08683566,-0.08635879,-0.0771427,-0.07675734,-0.07995566
H1,6012,-0.08034668,-0.08302483,-0.08492388,-0.081972465,-0.07977409
H1,6013,-0.11274062,-0.11351022,-0.1100962,-0.11377729,-0.10874296
H1,6014,-0.074662566,-0.08097236,-0.082836896,-0.08244315,-0.07759031
H1,6015,-0.09865369,-0.104220994,-0.099008985,-0.09674424,-0.0956063
H1,6016,-0.09512594,-0.09734417,-0.09620812,-0.09732229,-0.0889246
H1,6017,-0.08679743,-0.08614373,-0.087961145,-0.082613304,-0.08193461
H1,6018,-0.10030854,-0.10376397,-0.09623286,-0.09526626,-0.093643054
H1,6019,-0.092256,-0.09716426,-0.08962391,-0.088859156,-0.086416855
H1,6020,-0.099845216,-0.09973672,-0.09686261,-0.0955266,-0.094227344
H1,6021,-0.09389504,-0.09334394,-0.09217257,-0.08650114,-0.08361756
H1,6022,-0.08598145,-0.088501126,-0.082854375,-0.08022677,-0.08170154
H1,6023,-0.07378727,-0.0738682,-0.07567954,-0.07083815,-0.06694048
H1,6024,-0.064200796,-0.06449737,-0.06600915,-0.06007991,-0.06270469
H1,6025,-0.095606774,-0.09347037,-0.090235665,-0.089942,-0.089243606
H1,6026,-0.083263785,-0.08593718,-0.082232706,-0.081162445,-0.080673344
H1,6027,-0.079955555,-0.08586232,-0.08200503,-0.086671345,-0.08290884
H1,6028,-0.070803836,-0.0745345,-0.070800744,-0.07135471,-0.069094226
H1,6029,-0.06286535,-0.064883836,-0.06110936,-0.051233437,-0.059146993
H1,6030,-0.07561081,-0.0812172,-0.07098188,-0.06910035,-0.07094793
H1,6031,-0.08908795,-0.0842033,-0.07850909,-0.0716204,-0.07847436
H1,6032,-0.05502861,-0.05690149,-0.056910943,-0.054233354,-0.051504515
H1,6033,-0.08208283,-0.08077551,-0.083631,-0.0795034,-0.073080905
H1,6034,-0.068847366,-0.07498001,-0.069851145,-0.078843236,-0.06938701
H1,6035,-0.071837194,-0.07564423,-0.074312165,-0.073637,-0.07141002
H1,6036,-0.08341338,-0.08994024,-0.08664713,-0.08298715,-0.07932397
H1,6037,-0.0799648,-0.08652714,-0.07544314,-0.07358879,-0.077056594
H1,6038,-0.050344728,-0.05072354,-0.05229443,-0.044558696,-0.043851286
H1,6039,-0.06749707,-0.07036838,-0.06475385,-0.06309192,-0.06530766
H1,6040,-0.08120721,-0.081117004,-0.083002105,-0.071844384,-0.075922124
H1,6041,-0.04281855,-0.045863785,-0.045917127,-0.045320645,-0.037783798
