unique_id,ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
H1,2024-01-01 00:00:02.000,0.11845003,0.11430814,0.12038636,0.11328474,0.11755589
H1,2024-01-01 00:00:02.001,0.108918995,0.10609496,0.11405568,0.10402341,0.11315492
H1,2024-01-01 00:00:02.002,0.11564818,0.11187848,0.111552425,0.10821855,0.10686983
H1,2024-01-01 00:00:02.003,0.12344719,0.12281289,0.12447688,0.12868604,0.12511632
H1,2024-01-01 00:00:02.004,0.12938665,0.13101272,0.12865743,0.13444488,0.12928651
H1,2024-01-01 00:00:02.005,0.113006,0.122623295,0.11538448,0.12771234,0.11846807
H1,2024-01-01 00:00:02.006,0.09846754,0.1066872,0.09804425,0.10901158,0.10663634
H1,2024-01-01 00:00:02.007,0.104458556,0.10219784,0.09848063,0.11288804,0.10826349
H1,2024-01-01 00:00:02.008,0.13039884,0.13395634,0.13231736,0.1411004,0.13518693
H1,2024-01-01 00:00:02.009,0.14102045,0.13292147,0.1382115,0.14470766,0.14252886
H1,2024-01-01 00:00:02.010,0.11337741,0.118976526,0.11973199,0.11950976,0.12287404
H1,2024-01-01 00:00:02.011,0.08443816,0.093024924,0.09352023,0.09623245,0.09898259
H1,2024-01-01 00:00:02.012,0.09737702,0.10442509,0.10203114,0.096169755,0.103058234
H1,2024-01-01 00:00:02.013,0.14406398,0.1391804,0.14839345,0.13764769,0.1413514
H1,2024-01-01 00:00:02.014,0.15619615,0.15331495,0.15619679,0.15200612,0.14976726
H1,2024-01-01 00:00:02.015,0.12686925,0.113334976,0.121129215,0.124051884,0.111344755
H1,2024-01-01 00:00:02.016,0.0849588,0.08161749,0.08355303,0.08916258,0.07722491
H1,2024-01-01 00:00:02.017,0.08673545,0.08200717,0.08560672,0.09337838,0.07951954
H1,2024-01-01 00:00:02.018,0.1404963,0.14644137,0.13870138,0.15345408,0.14955834
H1,2024-01-01 00:00:02.019,0.1502642,0.15242128,0.15548943,0.16519555,0.15508224
H1,2024-01-01 00:00:02.020,0.113526456,0.115364596,0.11834365,0.115727484,0.10988726
H1,2024-01-01 00:00:02.021,0.058786463,0.063003674,0.074313976,0.070421,0.05931852
H1,2024-01-01 00:00:02.022,0.068501264,0.07170858,0.08283524,0.08604905,0.06615722
H1,2024-01-01 00:00:02.023,0.14487365,0.15119639,0.16696753,0.15295744,0.15493356
H1,2024-01-01 00:00:02.024,0.16557135,0.1595867,0.17828073,0.1634994,0.16909984
H1,2024-01-01 00:00:02.025,0.113219246,0.114042506,0.12954128,0.1122451,0.1208978
H1,2024-01-01 00:00:02.026,0.05083005,0.059885688,0.06361882,0.052346446,0.06298885
H1,2024-01-01 00:00:02.027,0.060759895,0.077646516,0.07228912,0.06542657,0.07429282
H1,2024-01-01 00:00:02.028,0.14839956,0.16590117,0.15563035,0.15718743,0.15919647
H1,2024-01-01 00:00:02.029,0.16871935,0.18078852,0.16342229,0.18352284,0.17853402
H1,2024-01-01 00:00:02.030,0.11847487,0.12214652,0.10022679,0.11340842,0.113938816
H1,2024-01-01 00:00:02.031,0.055825025,0.052343164,0.041691855,0.05986967,0.056308888
H1,2024-01-01 00:00:02.032,0.07201805,0.051635027,0.051748097,0.06595745,0.06787856
H1,2024-01-01 00:00:02.033,0.16829398,0.16496086,0.15937212,0.16727671,0.175824
H1,2024-01-01 00:00:02.034,0.18279211,0.1654366,0.1868702,0.19185677,0.19650447
H1,2024-01-01 00:00:02.035,0.11424273,0.10796096,0.10939476,0.12049317,0.1218743
H1,2024-01-01 00:00:02.036,0.036718518,0.03448096,0.032525744,0.05588329,0.042725682
H1,2024-01-01 00:00:02.037,0.04386881,0.046226263,0.043787636,0.064263985,0.0643796
H1,2024-01-01 00:00:02.038,0.15899074,0.16125616,0.15906164,0.1890007,0.17789483
H1,2024-01-01 00:00:02.039,0.17174259,0.18633531,0.19577561,0.20620756,0.19697702
H1,2024-01-01 00:00:02.040,0.102555096,0.10746225,0.11063014,0.11095393,0.11168082
H1,2024-01-01 00:00:02.041,0.011075027,0.026262976,0.03045385,0.030377269,0.023721894
H1,2024-01-01 00:00:02.042,0.023480527,0.03077454,0.03449993,0.03203705,0.032000747
H1,2024-01-01 00:00:02.043,0.16361609,0.1625312,0.17186761,0.16720784,0.16532823
H1,2024-01-01 00:00:02.044,0.19472426,0.19287273,0.19546843,0.19345248,0.19712456
H1,2024-01-01 00:00:02.045,0.101803415,0.108980685,0.110438004,0.11105889,0.10223854
H1,2024-01-01 00:00:02.046,0.008128092,0.004324831,0.0135205835,0.026662134,0.019360103
H1,2024-01-01 00:00:02.047,0.01912722,0.03160876,0.019453466,0.038697604,0.026935833
H1,2024-01-01 00:00:02.048,0.17144604,0.17826858,0.17177942,0.18540718,0.17581029
H1,2024-01-01 00:00:02.049,0.19490716,0.19443776,0.19154176,0.22063588,0.2028997
H1,2024-01-01 00:00:02.050,0.10403154,0.11373152,0.099123225,0.11892845,0.10706554
H1,2024-01-01 00:00:02.051,-0.0027120858,0.011593692,0.0059557557,0.022075027,0.005244214
H1,2024-01-01 00:00:02.052,0.010475382,0.013430405,0.020872548,0.027371723,0.01516293
H1,2024-01-01 00:00:02.053,0.17807737,0.17409249,0.17215595,0.18124035,0.17301725
H1,2024-01-01 00:00:02.054,0.2154826,0.21002208,0.21293,0.19958496,0.20366372
H1,2024-01-01 00:00:02.055,0.100166604,0.10905751,0.10253592,0.095708594,0.10229752
H1,2024-01-01 00:00:02.056,-0.019470312,-0.009096846,-0.0033157915,-0.0055410787,0.011255689
H1,2024-01-01 00:00:02.057,0.01340504,0.020191468,0.012945622,0.0035967082,0.011506207
H1,2024-01-01 00:00:02.058,0.16498916,0.18839525,0.18267912,0.17496423,0.17946947
H1,2024-01-01 00:00:02.059,0.19615218,0.20827122,0.20794486,0.19639295,0.21043712
H1,2024-01-01 00:00:02.060,0.08941598,0.10342772,0.09744057,0.087386966,0.103259206
H1,2024-01-01 00:00:02.061,-0.039932072,-0.024022672,-0.021742672,-0.016378086,-0.010735966
H1,2024-01-01 00:00:02.062,-0.026665837,-0.010945916,0.0058401823,-0.018512577,0.009866506
H1,2024-01-01 00:00:02.063,0.17588809,0.17745319,0.17967328,0.1702424,0.18534492
H1,2024-01-01 00:00:02.064,0.21085463,0.20719424,0.2099751,0.20793097,0.21723025
H1,2024-01-01 00:00:02.065,0.08796829,0.09204578,0.0918576,0.08679828,0.0836832
H1,2024-01-01 00:00:02.066,-0.037435953,-0.03202448,-0.019256301,-0.03189612,-0.024369001
H1,2024-01-01 00:00:02.067,-0.012242787,-0.01685404,-0.0024140403,-0.0035510212,-0.0034350753
H1,2024-01-01 00:00:02.068,0.1730942,0.17305262,0.1869222,0.17908691,0.1807043
H1,2024-01-01 00:00:02.069,0.2052393,0.21250995,0.21365604,0.22657697,0.22783586
H1,2024-01-01 00:00:02.070,0.081343405,0.0753296,0.09908431,0.099412516,0.089340664
H1,2024-01-01 00:00:02.071,-0.051623426,-0.057569165,-0.028004028,-0.020445284,-0.02543804
H1,2024-01-01 00:00:02.072,-0.027263287,-0.033318184,-0.0076075904,-0.0016788915,-0.0032856725
H1,2024-01-01 00:00:02.073,0.17605144,0.17402627,0.1886017,0.18987554,0.19502546
H1,2024-01-01 00:00:02.074,0.19821082,0.22394355,0.21801583,0.22021973,0.23586756
H1,2024-01-01 00:00:02.075,0.077039465,0.08442251,0.08778371,0.0975813,0.09246819
H1,2024-01-01 00:00:02.076,-0.054575164,-0.05702266,-0.04065386,-0.041140944,-0.02551404
H1,2024-01-01 00:00:02.077,-0.03552404,-0.0292099,-0.011420928,-0.009026587,-0.01434698
H1,2024-01-01 00:00:02.078,0.17303787,0.18378697,0.18227386,0.1986644,0.19036809
H1,2024-01-01 00:00:02.079,0.21331118,0.22874542,0.22877298,0.2368158,0.23677063
H1,2024-01-01 00:00:02.080,0.0819373,0.088683784,0.090939395,0.10241197,0.088671796
H1,2024-01-01 00:00:02.081,-0.06209688,-0.04939696,-0.055481233,-0.032108784,-0.047784626
H1,2024-01-01 00:00:02.082,-0.03789684,-0.041833572,-0.025234241,-0.011752531,-0.01547242
H1,2024-01-01 00:00:02.083,0.18639854,0.17692468,0.18347964,0.18948011,0.20146897
