unique_id,ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
H1,2024-01-01 00:00:02.000,0.12159455,0.11550479,0.12489481,0.1191288,0.124350876
H1,2024-01-01 00:00:02.001,0.1120083,0.10777334,0.12394763,0.107828185,0.11532474
H1,2024-01-01 00:00:02.002,0.11182639,0.117711104,0.122576624,0.10882873,0.102848805
H1,2024-01-01 00:00:02.003,0.11998379,0.12986979,0.12722819,0.12941684,0.13435382
H1,2024-01-01 00:00:02.004,0.1275774,0.13489549,0.12625822,0.12715445,0.11976457
H1,2024-01-01 00:00:02.005,0.118300185,0.121513605,0.108398676,0.121274784,0.11350925
H1,2024-01-01 00:00:02.006,0.107308656,0.10584551,0.095377654,0.11789981,0.11111589
H1,2024-01-01 00:00:02.007,0.107262306,0.11003353,0.11289751,0.118014865,0.110246524
H1,2024-01-01 00:00:02.008,0.13369456,0.13364688,0.13929605,0.14618944,0.13878755
H1,2024-01-01 00:00:02.009,0.14200842,0.13197717,0.124285,0.1422434,0.13776527
H1,2024-01-01 00:00:02.010,0.12046775,0.12362079,0.1096886,0.11840078,0.12783849
H1,2024-01-01 00:00:02.011,0.10175978,0.107511714,0.087597884,0.09447801,0.10567136
H1,2024-01-01 00:00:02.012,0.09785889,0.10742773,0.10834154,0.10342135,0.10232438
H1,2024-01-01 00:00:02.013,0.14451288,0.14479564,0.14854059,0.14658318,0.14933051
H1,2024-01-01 00:00:02.014,0.1530078,0.17151639,0.14210196,0.14468034,0.15190272
H1,2024-01-01 00:00:02.015,0.11734627,0.11716856,0.119953305,0.13240331,0.11508452
H1,2024-01-01 00:00:02.016,0.089552335,0.09759213,0.090636164,0.106236026,0.09113073
H1,2024-01-01 00:00:02.017,0.09117903,0.0995702,0.1060763,0.108478226,0.09586094
H1,2024-01-01 00:00:02.018,0.13739288,0.15388758,0.15256798,0.14765325,0.15420255
H1,2024-01-01 00:00:02.019,0.14715463,0.15283197,0.17018837,0.17122965,0.16096303
H1,2024-01-01 00:00:02.020,0.12255665,0.11846027,0.12559551,0.13265586,0.12278415
H1,2024-01-01 00:00:02.021,0.07904708,0.070340775,0.0584194,0.09356756,0.07822709
H1,2024-01-01 00:00:02.022,0.07684748,0.087359205,0.091515616,0.10514151,0.089821555
H1,2024-01-01 00:00:02.023,0.14822918,0.14874911,0.16538063,0.16874221,0.15906113
H1,2024-01-01 00:00:02.024,0.15926984,0.16814446,0.16838934,0.16532664,0.16474307
H1,2024-01-01 00:00:02.025,0.121973,0.120567985,0.13164775,0.12402952,0.11644283
H1,2024-01-01 00:00:02.026,0.06621239,0.06695496,0.07446562,0.06623317,0.06882115
H1,2024-01-01 00:00:02.027,0.0688924,0.079654254,0.092130624,0.0796957,0.09780306
H1,2024-01-01 00:00:02.028,0.14838642,0.161814,0.1651794,0.16430694,0.17309232
H1,2024-01-01 00:00:02.029,0.16522282,0.17202717,0.16834317,0.18120384,0.19211175
H1,2024-01-01 00:00:02.030,0.12606099,0.12519598,0.12388487,0.118722126,0.12999488
H1,2024-01-01 00:00:02.031,0.044084594,0.05768881,0.051688872,0.05772993,0.047343194
H1,2024-01-01 00:00:02.032,0.07559326,0.07364185,0.07827542,0.088943765,0.08236317
H1,2024-01-01 00:00:02.033,0.15800805,0.1948405,0.1749622,0.18442605,0.19518808
H1,2024-01-01 00:00:02.034,0.18554679,0.17394976,0.18823987,0.2073137,0.19980249
H1,2024-01-01 00:00:02.035,0.12898591,0.12891114,0.1282833,0.13718517,0.12873146
H1,2024-01-01 00:00:02.036,0.066859215,0.059019424,0.037260458,0.071763426,0.07842009
H1,2024-01-01 00:00:02.037,0.058600906,0.06130499,0.05740209,0.07930659,0.09698118
H1,2024-01-01 00:00:02.038,0.16896789,0.18234771,0.16192797,0.19893798,0.19334728
H1,2024-01-01 00:00:02.039,0.19020331,0.18693481,0.19357347,0.20746556,0.20207621
H1,2024-01-01 00:00:02.040,0.13124193,0.128918,0.1260758,0.1337097,0.13296187
H1,2024-01-01 00:00:02.041,0.02415232,0.033199742,0.02853638,0.048111394,0.039520934
H1,2024-01-01 00:00:02.042,0.04977552,0.047124334,0.04498338,0.05194325,0.059062652
H1,2024-01-01 00:00:02.043,0.18569477,0.1853559,0.17243537,0.19216108,0.19348155
H1,2024-01-01 00:00:02.044,0.18798375,0.20242992,0.19703408,0.20555305,0.20606047
H1,2024-01-01 00:00:02.045,0.12383429,0.11465206,0.13358939,0.1301088,0.12049993
H1,2024-01-01 00:00:02.046,0.025842756,0.021402273,0.028758597,0.040093303,0.021778844
H1,2024-01-01 00:00:02.047,0.033948794,0.0423603,0.04556987,0.05380275,0.047468856
H1,2024-01-01 00:00:02.048,0.1957516,0.18573144,0.19387972,0.19704993,0.20214446
H1,2024-01-01 00:00:02.049,0.20234561,0.19263616,0.19808105,0.21128392,0.22303122
H1,2024-01-01 00:00:02.050,0.13162749,0.13542211,0.13315299,0.12543678,0.13478166
H1,2024-01-01 00:00:02.051,-0.0012447536,0.029710438,0.0037463307,0.0076844394,0.01843307
H1,2024-01-01 00:00:02.052,0.03083238,0.032636713,0.032636613,0.031486794,0.053147145
H1,2024-01-01 00:00:02.053,0.19024387,0.18481293,0.17543036,0.2034333,0.21204792
H1,2024-01-01 00:00:02.054,0.207107,0.20217237,0.19641605,0.21582863,0.2296104
H1,2024-01-01 00:00:02.055,0.12110822,0.12081154,0.12560672,0.12161836,0.13512163
H1,2024-01-01 00:00:02.056,-0.011161055,-0.011781149,0.0050692856,0.004362114,0.020507209
H1,2024-01-01 00:00:02.057,0.020868339,0.029046245,0.02256421,0.0331655,0.03658779
H1,2024-01-01 00:00:02.058,0.19503658,0.21086794,0.1873079,0.19235405,0.19652493
H1,2024-01-01 00:00:02.059,0.22204459,0.21741356,0.22455767,0.20875962,0.23165599
H1,2024-01-01 00:00:02.060,0.13098857,0.13130438,0.124551445,0.11219397,0.1432043
H1,2024-01-01 00:00:02.061,-0.031287238,-0.020784734,-0.0037043989,-0.009918474,0.002580002
H1,2024-01-01 00:00:02.062,0.015079338,-0.0085880235,0.0360319,0.00033949316,0.03557293
H1,2024-01-01 00:00:02.063,0.19786257,0.19580522,0.21365938,0.18846266,0.22453496
H1,2024-01-01 00:00:02.064,0.21093199,0.2098844,0.23052308,0.22612722,0.25669795
H1,2024-01-01 00:00:02.065,0.11754455,0.11863537,0.12213645,0.118025705,0.12957987
H1,2024-01-01 00:00:02.066,-0.039730772,-0.02912566,-0.010429241,-0.017455123,0.0021099038
H1,2024-01-01 00:00:02.067,0.01036454,-0.009530153,0.018931337,0.013679832,0.026143923
H1,2024-01-01 00:00:02.068,0.19072212,0.20141007,0.20997709,0.21382925,0.21709436
H1,2024-01-01 00:00:02.069,0.22648591,0.22503641,0.23537818,0.23150921,0.24742654
H1,2024-01-01 00:00:02.070,0.12116725,0.115791306,0.12840101,0.13146202,0.14009723
H1,2024-01-01 00:00:02.071,-0.031533614,-0.039265748,-0.00053176284,-0.016180903,0.0017445683
H1,2024-01-01 00:00:02.072,-0.004713122,-0.013223425,0.02955215,0.010513637,0.01411017
H1,2024-01-01 00:00:02.073,0.20261349,0.2037179,0.22855261,0.21903545,0.24294141
H1,2024-01-01 00:00:02.074,0.23452362,0.2153714,0.25778657,0.23537818,0.27823547
H1,2024-01-01 00:00:02.075,0.12752423,0.119156145,0.12371809,0.13294175,0.13864447
H1,2024-01-01 00:00:02.076,-0.018621016,-0.03445038,-0.013525687,-0.015557054,0.016300887
H1,2024-01-01 00:00:02.077,-0.0072487444,-0.0046908446,0.008496776,0.01941489,0.022709146
H1,2024-01-01 00:00:02.078,0.20979926,0.21375482,0.22179428,0.24762058,0.25440636
H1,2024-01-01 00:00:02.079,0.2462933,0.22142394,0.2577157,0.27132088,0.2788253
H1,2024-01-01 00:00:02.080,0.11390102,0.11965387,0.12054498,0.14096558,0.12969577
H1,2024-01-01 00:00:02.081,-0.037827235,-0.043866254,-0.039257266,-0.025564935,-0.017283276
H1,2024-01-01 00:00:02.082,0.0015724003,0.0027824184,-0.0014047008,0.004653506,0.005067013
H1,2024-01-01 00:00:02.083,0.20878172,0.21405694,0.19916193,0.23063876,0.25363114
H1,2024-01-01 00:00:02.084,0.24185863,0.23566805,0.25487137,0.25875494,0.2869745
H1,2024-01-01 00:00:02.085,0.10713543,0.111083455,0.114018865,0.1135616,0.1414178
H1,2024-01-01 00:00:02.086,-0.03992316,-0.06914281,-0.016446605,-0.044002134,-0.0068109483
H1,2024-01-01 00:00:02.087,-0.022894911,-0.034836303,-0.003360726,0.0034188852,-0.00017412007
H1,2024-01-01 00:00:02.088,0.2149784,0.22142544,0.2215194,0.21999928,0.22500145
H1,2024-01-01 00:00:02.089,0.23912002,0.24940938,0.26352516,0.27699262,0.2871171
H1,2024-01-01 00:00:02.090,0.11922545,0.1028872,0.12546135,0.12401358,0.14464192
H1,2024-01-01 00:00:02.091,-0.044720385,-0.069692075,-0.015097439,-0.045802712,-0.024947582
H1,2024-01-01 00:00:02.092,-0.005649492,-0.035823092,-0.019254938,-0.0034117922,-0.015644439
H1,2024-01-01 00:00:02.093,0.19967271,0.20708606,0.22568414,0.22721337,0.25506088
H1,2024-01-01 00:00:02.094,0.2382968,0.26031876,0.25368205,0.2654284,0.28929666
H1,2024-01-01 00:00:02.095,0.09908824,0.103678614,0.09668632,0.11830164,0.11647538
H1,2024-01-01 00:00:02.096,-0.05641184,-0.057355016,-0.040361747,-0.010586426,-0.00054225326
H1,2024-01-01 00:00:02.097,-0.013904981,-0.03177824,-0.018137729,0.012593858,0.002072364
H1,2024-01-01 00:00:02.098,0.21532245,0.23606613,0.23016873,0.2470625,0.28065574
H1,2024-01-01 00:00:02.099,0.26244247,0.25573164,0.2624706,0.2830506,0.3167115
H1,2024-01-01 00:00:02.100,0.10235835,0.11452058,0.1296861,0.11786898,0.12875803
H1,2024-01-01 00:00:02.101,-0.040364243,-0.06230227,-0.017847992,-0.027335256,-0.0056757145
H1,2024-01-01 00:00:02.102,-0.016450025,-0.041330762,-0.007887915,-0.016335335,-0.010508776
H1,2024-01-01 00:00:02.103,0.19531444,0.21295644,0.25609252,0.22098932,0.26157016
H1,2024-01-01 00:00:02.104,0.23991466,0.2595799,0.27473918,0.27882978,0.269911
H1,2024-01-01 00:00:02.105,0.09142223,0.09873396,0.11624329,0.10458946,0.119624496
H1,2024-01-01 00:00:02.106,-0.0778721,-0.10254565,-0.05106558,-0.04910218,-0.038637463
H1,2024-01-01 00:00:02.107,-0.037874706,-0.07154451,-0.016551271,-0.02549629,-0.01302506
H1,2024-01-01 00:00:02.108,0.23051429,0.20155647,0.19733685,0.23706658,0.2752895
