
[Name]
inlet

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-7.93734133e-01, 1.38939500e-01, 0.00000000e+00, 1.63460970e+00
-7.93734133e-01, 1.64889038e-01, 4.16666679e-02, 1.46645975e+00
-7.93734133e-01, 1.85317397e-01, 0.00000000e+00, 1.33456898e+00
-7.93734133e-01, -9.29499865e-02, 0.00000000e+00, 3.32231784e+00
-7.93734133e-01, -1.39327884e-01, 0.00000000e+00, 3.63522243e+00
-7.93734133e-01, -1.13378346e-01, 4.16666679e-02, 3.46568513e+00
-7.93734133e-01, -3.71217370e-01, 0.00000000e+00, 4.77097654e+00
-7.93734133e-01, -4.17595267e-01, 0.00000000e+00, 4.90412521e+00
-7.93734133e-01, -3.91645730e-01, 4.16666679e-02, 4.83729219e+00
-7.93734133e-01, -9.26288009e-01, 1.66405842e-01, 5.33989525e+00
-7.93734133e-01, -9.52058911e-01, 1.26830578e-01, 5.31752157e+00
-7.93734133e-01, -9.74921823e-01, 1.71264723e-01, 5.34789944e+00
-7.93734133e-01, -5.36852717e-01, -4.16666679e-02, 5.13494635e+00
-7.93734133e-01, -5.79917908e-01, -4.16666679e-02, 5.18832922e+00
-7.93734133e-01, -5.56728959e-01, 0.00000000e+00, 5.16278601e+00
-7.93734133e-01, -2.58585334e-01, -4.16666679e-02, 4.31055212e+00
-7.93734133e-01, -3.01650524e-01, -4.16666679e-02, 4.51197767e+00
-7.93734133e-01, -2.78461576e-01, 0.00000000e+00, 4.40676069e+00
-7.93734133e-01, 1.96820498e-02, -4.16666679e-02, 2.48418832e+00
-7.93734133e-01, -2.33831406e-02, -4.16666679e-02, 2.82078195e+00
-7.93734133e-01, -1.94191933e-04, 0.00000000e+00, 2.64685154e+00
-7.93734133e-01, -6.05001569e-01, -1.14694200e-02, 5.20714092e+00
-7.93734133e-01, 2.78073192e-01, 0.00000000e+00, 8.19070339e-01
-7.93734133e-01, 2.97949433e-01, -4.16666679e-02, 7.25798130e-01
-7.93734133e-01, 2.54884243e-01, -4.16666679e-02, 9.40855920e-01
-7.93734133e-01, 4.31821376e-01, -5.03177680e-02, 2.89594054e-01
-7.93734133e-01, 3.84079814e-01, -4.16666679e-02, 4.10221964e-01
-7.93734133e-01, 4.21994388e-01, -3.97215411e-03, 3.12254816e-01
-7.93734133e-01, -9.62970376e-01, 3.26039754e-02, 5.29444885e+00
-7.93734133e-01, -9.84253109e-01, -8.49966332e-03, 5.29375696e+00
-7.93734133e-01, -1.01471126e+00, 2.51663700e-02, 5.29574156e+00
-7.93734133e-01, -5.09312987e-01, 2.72388803e-04, 5.09453535e+00
-7.93734133e-01, -2.30753511e-01, 1.17904146e-03, 4.18269539e+00
-7.93734133e-01, 3.57137471e-01, 9.04259011e-02, 5.03159523e-01
-7.93734133e-01, 3.19585562e-01, 1.22395836e-01, 6.48898482e-01
-7.93734133e-01, 3.75148326e-01, 1.31571800e-01, 4.59277630e-01
-7.93734133e-01, 4.75138798e-02, 1.17904146e-03, 2.29500222e+00
-7.93734133e-01, 3.25159848e-01, 1.14508916e-03, 6.19730771e-01
-7.93734133e-01, 5.69257617e-01, 6.02823915e-03, 7.77060017e-02
-7.93734133e-01, 5.42278826e-01, 4.67247553e-02, 1.05211407e-01
-7.93734133e-01, 5.86070657e-01, 4.99639139e-02, 6.35297969e-02
-7.93734133e-01, 5.14103532e-01, 8.81410018e-03, 1.40531063e-01
-7.93734133e-01, -8.64766002e-01, 1.21553592e-01, 5.31045914e+00
-7.93734133e-01, -8.23225141e-01, 1.22195140e-01, 5.30777979e+00
-7.93734133e-01, -8.43278110e-01, 7.85256401e-02, 5.29692888e+00
-7.93734133e-01, -8.41923416e-01, 1.63710833e-01, 5.33032084e+00
-7.93734133e-01, 3.54899079e-01, 1.67327940e-01, 5.50911486e-01
-7.93734133e-01, 3.16938341e-01, -1.19047619e-01, 6.71143413e-01
-7.93734133e-01, 3.54977190e-01, -8.42091143e-02, 5.15401542e-01
-7.93734133e-01, 3.73916328e-01, -1.30865172e-01, 4.69178349e-01
-7.93734133e-01, -9.31064844e-01, 7.69230723e-02, 5.30119085e+00
-7.93734133e-01, -9.16655958e-01, 2.60741636e-02, 5.29270077e+00
-7.93734133e-01, -1.05276608e+00, -9.16609541e-03, 5.29588270e+00
-7.93734133e-01, -1.06354082e+00, 3.42989266e-02, 5.29864645e+00
-7.93734133e-01, 6.18432403e-01, -6.34560436e-02, 3.87341529e-02
-7.93734133e-01, 6.32998705e-01, -1.10627010e-01, 3.28692868e-02
-7.93734133e-01, 5.84064007e-01, -8.53931680e-02, 6.96284398e-02
-7.93734133e-01, 2.66785324e-01, 1.29776999e-01, 9.08656001e-01
-7.93734133e-01, 2.85047561e-01, 8.35760459e-02, 7.99044788e-01
-7.93734133e-01, -9.08311129e-01, 1.23704046e-01, 5.31368637e+00
-7.93734133e-01, -1.00439203e+00, 1.20292746e-01, 5.32004881e+00
-7.93734133e-01, 2.08506346e-01, 4.16666679e-02, 1.19037068e+00
-7.93734133e-01, -6.97610378e-02, 4.16666679e-02, 3.15539718e+00
-7.93734133e-01, 4.69579071e-01, -2.09011417e-02, 2.11713865e-01
-7.93734133e-01, -3.48028421e-01, 4.16666679e-02, 4.69269514e+00
-7.93734133e-01, 2.31695294e-01, 1.66666672e-01, 1.09656775e+00
-7.93734133e-01, 2.08506346e-01, 1.25000000e-01, 1.20451391e+00
-7.93734133e-01, 2.36471787e-01, 8.38371143e-02, 1.05394411e+00
-7.93734133e-01, 4.96458620e-01, 5.81110045e-02, 1.69446111e-01
-7.93734133e-01, 6.21233322e-03, 8.35804194e-02, 2.60487866e+00
-7.93734133e-01, -1.24606388e-02, 1.30650640e-01, 2.76656532e+00
-7.93734133e-01, 4.14882526e-02, 1.26475245e-01, 2.36618066e+00
-7.93734133e-01, -3.94406319e-01, -4.16666679e-02, 4.84560347e+00
-7.93734133e-01, -1.16138935e-01, -4.16666679e-02, 3.49398685e+00
-7.93734133e-01, 1.62128448e-01, -4.16666679e-02, 1.49354279e+00
-7.93734133e-01, -4.65720892e-02, 1.66666672e-01, 3.02541423e+00
-7.93734133e-01, -6.97610378e-02, 1.25000000e-01, 3.16699696e+00
-7.93734133e-01, -4.65720892e-02, 8.33333358e-02, 2.98477960e+00
-7.93734133e-01, 5.81403673e-01, -1.30594417e-01, 8.20044503e-02
-7.93734133e-01, -8.84686947e-01, 1.63461536e-01, 5.33287144e+00
-7.93734133e-01, 3.38623762e-01, -1.65513068e-01, 6.08571112e-01
-7.93734133e-01, -2.72055060e-01, 8.35804194e-02, 4.38857031e+00
-7.93734133e-01, -2.90728033e-01, 1.30650640e-01, 4.49040842e+00
-7.93734133e-01, -2.36779124e-01, 1.26475245e-01, 4.23554087e+00
