
[Name]
parachute_model_surface

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
3.17499996e-03, -4.13047671e-01, 7.15562189e-03, -1.05510426e+01
-3.17499996e-03, -4.13047671e-01, 7.15562189e-03, -1.05510426e+01
-3.17499996e-03, -4.13047671e-01, 8.74312222e-03, -1.05510426e+01
3.17499996e-03, -4.13047671e-01, 8.74312222e-03, -1.05510426e+01
-3.17499996e-03, -4.14047688e-01, 7.15562189e-03, -1.05510426e+01
-3.17499996e-03, -4.14047688e-01, 8.74312222e-03, -1.05510426e+01
3.17499996e-03, -4.14047688e-01, 7.15562189e-03, -1.05510426e+01
3.17499996e-03, -4.14047688e-01, 8.74312222e-03, -1.05510426e+01
-1.06911082e-03, -2.19999999e-02, 1.76827386e-01, -7.15141983e+01
-1.01087498e-03, -2.19999999e-02, 1.76430777e-01, -5.51781044e+01
1.04084238e-03, -2.19999999e-02, 1.76827386e-01, -4.48036232e+01
9.84738581e-04, -2.19999999e-02, 1.76430926e-01, -4.08724480e+01
3.17499996e-03, -2.19999999e-02, 1.76408157e-01, -3.60770950e+01
3.17499996e-03, -2.19999999e-02, 1.76827386e-01, -3.44221039e+01
-3.00000003e-03, -2.19999999e-02, 1.76408157e-01, -4.57570038e+01
-3.17499996e-03, -2.19999999e-02, 1.76827386e-01, -6.07356567e+01
1.62058475e-03, -2.33794153e-02, 1.75239876e-01, 1.79439926e+01
3.17499996e-03, -2.50000004e-02, 1.75239876e-01, -6.94150031e-01
3.00000003e-03, -2.19999999e-02, 1.75239876e-01, -6.19614744e+00
1.04370585e-03, -2.19999999e-02, 1.75239876e-01, 2.13219032e+01
-9.99999982e-15, -2.50000004e-02, 1.75239876e-01, 2.15029106e+01
-1.62058475e-03, -2.33794153e-02, 1.75239876e-01, 2.73204784e+01
-1.06694584e-03, -2.19999999e-02, 1.75239876e-01, 2.80697670e+01
-3.00000003e-03, -2.19999999e-02, 1.75239876e-01, 2.18000507e+01
-3.17499996e-03, -2.50000004e-02, 1.75239876e-01, 2.11617165e+01
1.58749998e-03, -4.11148578e-01, 7.97822606e-03, -8.92456532e+00
1.58749998e-03, -4.09792185e-01, 8.56574997e-03, -8.49892139e+00
-3.83704145e-11, -4.10508275e-01, 8.25557578e-03, -9.07840633e+00
2.64583301e-04, -4.09016579e-01, 8.90171435e-03, -7.85779381e+00
-1.32291671e-03, -4.09694195e-01, 8.60819500e-03, -1.23340187e+01
-1.58749998e-03, -4.11147445e-01, 7.97871128e-03, -1.09019842e+01
-3.92020775e-06, -4.11777973e-01, 7.70560186e-03, -9.64079762e+00
-1.05833332e-03, -4.08240944e-01, 9.23767779e-03, -1.40658808e+01
1.05833332e-03, -4.07425284e-01, 9.59098525e-03, -7.94122028e+00
1.96623057e-03, -4.08420563e-01, 9.15987510e-03, -8.05499935e+00
-1.32291671e-03, -4.06484872e-01, 9.99832619e-03, -1.70876808e+01
-3.83704180e-11, -4.05512482e-01, 1.04195271e-02, -1.04755239e+01
1.61569205e-03, -4.13047671e-01, 7.15562189e-03, -9.13669300e+00
-1.58749998e-03, -4.04845268e-01, 1.07085276e-02, -2.21688080e+01
1.57168682e-03, -4.06083226e-01, 1.01722972e-02, -7.90095663e+00
-3.83704180e-11, -4.03663516e-01, 1.12204123e-02, -1.34096565e+01
1.53458328e-03, -4.04802561e-01, 1.07270256e-02, -7.83045578e+00
3.17499996e-03, -4.11788881e-01, 7.70087447e-03, -8.76278019e+00
